forecast_date,target,target_end_date,location,location_name,type,quantile,value
2022-04-04,-1 day ahead inc case,2022-04-03,PL,Poland,observed,NA,557
2022-04-04,0 day ahead inc case,2022-04-04,PL,Poland,observed,NA,493
2022-04-04,-1 day ahead cum case,2022-04-03,PL,Poland,observed,NA,5969223
2022-04-04,0 day ahead cum case,2022-04-04,PL,Poland,observed,NA,5969716
2022-04-04,-1 wk ahead inc case,2022-03-26,PL,Poland,observed,NA,54315
2022-04-04,0 wk ahead inc case,2022-04-02,PL,Poland,observed,NA,29365
2022-04-04,-1 wk ahead cum case,2022-03-26,PL,Poland,observed,NA,5942795
2022-04-04,0 wk ahead cum case,2022-04-02,PL,Poland,observed,NA,5969223
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,point,NA,3311
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.01,94
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.025,610
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.05,969
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.1,1554
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.15,1849
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.2,2126
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.25,2377
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.3,2589
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.35,2859
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.4,3090
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.45,3273
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.5,3410
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.55,3579
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.6,3749
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.65,3977
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.7,4139
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.75,4360
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.8,4530
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.85,4748
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.9,5075
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.95,5658
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.975,6214
2022-04-04,1 day ahead inc case,2022-04-05,PL,Poland,quantile,0.99,6817
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,point,NA,3168
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.01,0
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.025,438
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.05,979
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.1,1431
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.15,1736
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.2,2011
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.25,2263
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.3,2497
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.35,2657
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.4,2848
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.45,3006
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.5,3189
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.55,3328
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.6,3468
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.65,3676
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.7,3829
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.75,3998
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.8,4317
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.85,4491
2022-04-04,2 day ahead inc case,2022-04-06,PL,Poland,quantile,0.9,4863
