forecast_date,target,target_end_date,location,location_name,type,quantile,value
2022-04-04,-1 day ahead inc death,2022-04-03,PL,Poland,observed,NA,2
2022-04-04,0 day ahead inc death,2022-04-04,PL,Poland,observed,NA,0
2022-04-04,-1 day ahead cum death,2022-04-03,PL,Poland,observed,NA,115208
2022-04-04,0 day ahead cum death,2022-04-04,PL,Poland,observed,NA,115208
2022-04-04,-1 wk ahead inc death,2022-03-26,PL,Poland,observed,NA,613
2022-04-04,0 wk ahead inc death,2022-04-02,PL,Poland,observed,NA,522
2022-04-04,-1 wk ahead cum death,2022-03-26,PL,Poland,observed,NA,114691
2022-04-04,0 wk ahead cum death,2022-04-02,PL,Poland,observed,NA,115208
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,point,NA,71
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.01,41
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.025,47
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.05,51
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.1,55
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.15,58
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.2,60
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.25,62
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.3,64
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.35,66
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.4,68
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.45,69
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.5,71
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.55,72
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.6,74
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.65,76
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.7,78
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.75,79
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.8,81
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.85,83
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.9,86
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.95,91
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.975,95
2022-04-04,1 day ahead inc death,2022-04-05,PL,Poland,quantile,0.99,98
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,point,NA,71
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.01,39
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.025,45
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.05,49
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.1,53
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.15,57
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.2,60
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.25,62
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.3,64
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.35,66
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.4,67
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.45,69
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.5,71
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.55,72
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.6,74
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.65,76
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.7,77
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.75,80
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.8,82
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.85,85
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.9,88
2022-04-04,2 day ahead inc death,2022-04-06,PL,Poland,quantile,0.95,93
