forecast_date,target,target_end_date,location,location_name,type,quantile,value
2022-04-25,-1 wk ahead inc death,2022-04-16,GM,Germany,observed,NA,1250
2022-04-25,0 wk ahead inc death,2022-04-23,GM,Germany,observed,NA,1226
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,point,NA,1016
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.010,872
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.025,894
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.050,912
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.100,929
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.150,943
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.200,955
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.250,968
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.300,978
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.350,986
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.400,998
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.450,1007
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.500,1016
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.550,1027
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.600,1037
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.650,1049
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.700,1062
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.750,1074
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.800,1090
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.850,1111
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.900,1138
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.950,1183
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.975,1224
2022-04-25,1 wk ahead inc death,2022-04-30,GM,Germany,quantile,0.990,1276
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,point,NA,937
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.010,705
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.025,734
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.050,755
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.100,783
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.150,805
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.200,825
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.250,843
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.300,862
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.350,882
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.400,899
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.450,918
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.500,937
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.550,957
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.600,978
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.650,1004
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.700,1028
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.750,1056
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.800,1092
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.850,1138
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.900,1196
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.950,1295
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.975,1394
2022-04-25,2 wk ahead inc death,2022-05-07,GM,Germany,quantile,0.990,1517
2022-04-25,3 wk ahead inc death,2022-05-14,GM,Germany,point,NA,856
2022-04-25,3 wk ahead inc death,2022-05-14,GM,Germany,quantile,0.010,563
2022-04-25,3 wk ahead inc death,2022-05-14,GM,Germany,quantile,0.025,593
2022-04-25,3 wk ahead inc death,2022-05-14,GM,Germany,quantile,0.050,619
2022-04-25,3 wk ahead inc death,2022-05-14,GM,Germany,quantile,0.100,651
2022-04-25,3 wk ahead inc death,2022-05-14,GM,Germany,quantile,0.150,679
2022-04-25,3 wk ahead inc death,2022-05-14,GM,Germany,quantile,0.200,705
2022-04-25,3 wk ahead inc death,2022-05-14,GM,Germany,quantile,0.250,727
2022-04-25,3 wk ahead inc death,2022-05-14,GM,Germany,quantile,0.300,754
2022-04-25,3 wk ahead inc death,2022-05-14,GM,Germany,quantile,0.350,780
2022-04-25,3 wk ahead inc death,2022-05-14,GM,Germany,quantile,0.400,803
