forecast_date,target,target_end_date,location,location_name,type,quantile,value
4/11/2021,1 wk ahead cum case,4/18/2021,GM13,Free State of Saxony,point,NA,8734
4/11/2021,2 wk ahead cum case,4/25/2021,GM13,Free State of Saxony,point,NA,9486
4/11/2021,3 wk ahead cum case,5/2/2021,GM13,Free State of Saxony,point,NA,10404
4/11/2021,4 wk ahead cum case,5/9/2021,GM13,Free State of Saxony,point,NA,11180
4/11/2021,1 wk ahead cum case,4/18/2021,GM13,Free State of Saxony,quantile,0.025,6233
4/11/2021,2 wk ahead cum case,4/25/2021,GM13,Free State of Saxony,quantile,0.025,6185
4/11/2021,3 wk ahead cum case,5/2/2021,GM13,Free State of Saxony,quantile,0.025,6396
4/11/2021,4 wk ahead cum case,5/9/2021,GM13,Free State of Saxony,quantile,0.025,6123
4/11/2021,1 wk ahead cum case,4/18/2021,GM13,Free State of Saxony,quantile,0.975,11575
4/11/2021,2 wk ahead cum case,4/25/2021,GM13,Free State of Saxony,quantile,0.975,13278
4/11/2021,3 wk ahead cum case,5/2/2021,GM13,Free State of Saxony,quantile,0.975,15405
4/11/2021,4 wk ahead cum case,5/9/2021,GM13,Free State of Saxony,quantile,0.975,17613
