epi_week,epi_year,date,location,location_name,cum_death,inc_death,cum_case,inc_case
5,2020,2020-02-01,GM,Germany,0,0,8,8
6,2020,2020-02-08,GM,Germany,0,0,13,5
7,2020,2020-02-15,GM,Germany,0,0,16,3
8,2020,2020-02-22,GM,Germany,0,0,16,0
9,2020,2020-02-29,GM,Germany,0,0,66,50
10,2020,2020-03-07,GM,Germany,0,0,684,618
11,2020,2020-03-14,GM,Germany,8,8,3795,3111
12,2020,2020-03-21,GM,Germany,47,39,16662,12867
13,2020,2020-03-28,GM,Germany,325,278,48582,31920
14,2020,2020-04-04,GM,Germany,1158,833,85778,37196
15,2020,2020-04-11,GM,Germany,2544,1386,117658,31880
16,2020,2020-04-18,GM,Germany,4110,1566,137439,19781
17,2020,2020-04-25,GM,Germany,5500,1390,152438,14999
18,2020,2020-05-02,GM,Germany,6575,1075,161703,9265
19,2020,2020-05-09,GM,Germany,7369,794,168551,6848
20,2020,2020-05-16,GM,Germany,7881,512,173772,5221
21,2020,2020-05-23,GM,Germany,8216,335,177850,4078
22,2020,2020-05-30,GM,Germany,8489,273,181196,3346
23,2020,2020-06-06,GM,Germany,8646,157,183678,2482
24,2020,2020-06-13,GM,Germany,8781,135,186022,2344
25,2020,2020-06-20,GM,Germany,8883,102,189135,3113
26,2020,2020-06-27,GM,Germany,8954,71,193243,4108
27,2020,2020-07-04,GM,Germany,9010,56,196096,2853
28,2020,2020-07-11,GM,Germany,9060,50,198556,2460
29,2020,2020-07-18,GM,Germany,9083,23,201372,2816
30,2020,2020-07-25,GM,Germany,9118,35,204964,3592
31,2020,2020-08-01,GM,Germany,9148,30,209653,4689
32,2020,2020-08-08,GM,Germany,9195,47,215336,5683
33,2020,2020-08-15,GM,Germany,9231,36,222828,7492
34,2020,2020-08-22,GM,Germany,9267,36,232082,9254
35,2020,2020-08-29,GM,Germany,9289,22,240986,8904
36,2020,2020-09-05,GM,Germany,9324,35,248997,8011
37,2020,2020-09-12,GM,Germany,9347,23,258480,9483
38,2020,2020-09-19,GM,Germany,9384,37,270070,11590
39,2020,2020-09-26,GM,Germany,9452,68,282730,12660
40,2020,2020-10-03,GM,Germany,9527,75,296958,14228
41,2020,2020-10-10,GM,Germany,9604,77,319381,22423
42,2020,2020-10-17,GM,Germany,9767,163,356387,37006
43,2020,2020-10-24,GM,Germany,10003,236,418005,61618
44,2020,2020-10-31,GM,Germany,10452,449,518753,100748
45,2020,2020-11-07,GM,Germany,11226,774,642488,123735
46,2020,2020-11-14,GM,Germany,12378,1152,773556,131068
47,2020,2020-11-21,GM,Germany,13884,1506,902528,128972
48,2020,2020-11-28,GM,Germany,15965,2081,1028089,125561
49,2020,2020-12-05,GM,Germany,18517,2552,1153556,125467
50,2020,2020-12-12,GM,Germany,21466,2949,1300516,146960
51,2020,2020-12-19,GM,Germany,25640,4174,1471238,170722
52,2020,2020-12-26,GM,Germany,29422,3782,1627103,155865
53,2020,2021-01-02,GM,Germany,33960,4538,1755351,128248
1,2021,2021-01-09,GM,Germany,39878,5918,1891581,136230
2,2021,2021-01-16,GM,Germany,45974,6096,2019636,128055
3,2021,2021-01-23,GM,Germany,51521,5547,2122679,103043
4,2021,2021-01-30,GM,Germany,56546,5025,2205171,82492
5,2021,2021-02-06,GM,Germany,61286,4740,2275394,70223
6,2021,2021-02-13,GM,Germany,64742,3456,2328447,53053
7,2021,2021-02-20,GM,Germany,67696,2954,2378883,50436
8,2021,2021-02-27,GM,Germany,69888,2192,2434446,55563
9,2021,2021-03-06,GM,Germany,71804,1916,2492079,57633
10,2021,2021-03-13,GM,Germany,73301,1497,2558455,66376
11,2021,2021-03-20,GM,Germany,74565,1264,2645783,87328
12,2021,2021-03-27,GM,Germany,75780,1215,2755225,109442
13,2021,2021-04-03,GM,Germany,76895,1115,2873190,117965
14,2021,2021-04-10,GM,Germany,78249,1354,2980413,107223
15,2021,2021-04-17,GM,Germany,79847,1598,3123077,142664
16,2021,2021-04-24,GM,Germany,81444,1597,3268645,145568
17,2021,2021-05-01,GM,Germany,83082,1638,3400532,131887
18,2021,2021-05-08,GM,Germany,84648,1566,3507673,107141
19,2021,2021-05-15,GM,Germany,86025,1377,3584934,77261
20,2021,2021-05-22,GM,Germany,87298,1273,3642244,57310
21,2021,2021-05-29,GM,Germany,88350,1052,3675296,33052
22,2021,2021-06-05,GM,Germany,89148,798,3697927,22631
23,2021,2021-06-12,GM,Germany,89816,668,3713480,15553
24,2021,2021-06-19,GM,Germany,90369,553,3721139,7659
25,2021,2021-06-26,GM,Germany,90746,377,3726172,5033
26,2021,2021-07-03,GM,Germany,91023,277,3730353,4181
27,2021,2021-07-10,GM,Germany,91225,202,3735420,5067
28,2021,2021-07-17,GM,Germany,91359,134,3743389,7969
29,2021,2021-07-24,GM,Germany,91520,161,3754511,11122
30,2021,2021-07-31,GM,Germany,91658,138,3769165,14654
31,2021,2021-08-07,GM,Germany,91778,120,3787639,18474
32,2021,2021-08-14,GM,Germany,91864,86,3816285,28646
33,2021,2021-08-21,GM,Germany,91973,109,3861147,44862
34,2021,2021-08-28,GM,Germany,92118,145,3924131,62984
35,2021,2021-09-04,GM,Germany,92325,207,3995188,71057
36,2021,2021-09-11,GM,Germany,92598,273,4070295,75107
37,2021,2021-09-18,GM,Germany,92920,322,4134779,64484
38,2021,2021-09-25,GM,Germany,93365,445,4188604,53825
39,2021,2021-10-02,GM,Germany,93777,412,4246136,57532
40,2021,2021-10-09,GM,Germany,94178,401,4302661,56525
41,2021,2021-10-16,GM,Germany,94601,423,4365107,62446
42,2021,2021-10-23,GM,Germany,95077,476,4452425,87318
43,2021,2021-10-30,GM,Germany,95696,619,4580663,128238
44,2021,2021-11-06,GM,Germany,96488,792,4743490,162827
45,2021,2021-11-13,GM,Germany,97617,1129,4987971,244481
46,2021,2021-11-20,GM,Germany,98987,1370,5312215,324244
47,2021,2021-11-27,GM,Germany,100779,1792,5717295,405080
48,2021,2021-12-04,GM,Germany,102946,2167,6116070,398775
49,2021,2021-12-11,GM,Germany,105506,2560,6477217,361147
50,2021,2021-12-18,GM,Germany,108053,2547,6764188,286971
51,2021,2021-12-25,GM,Germany,110276,2223,6981281,217093
52,2021,2022-01-01,GM,Germany,112109,1833,7176814,195533
1,2022,2022-01-08,GM,Germany,113900,1791,7473884,297070
2,2022,2022-01-15,GM,Germany,115572,1672,7913473,439589
3,2022,2022-01-22,GM,Germany,116664,1092,8596007,682534
4,2022,2022-01-29,GM,Germany,117666,1002,9618245,1022238
5,2022,2022-02-05,GM,Germany,118676,1010,10889417,1271172
6,2022,2022-02-12,GM,Germany,119877,1201,12219501,1330084
7,2022,2022-02-19,GM,Germany,121202,1325,13445094,1225593
8,2022,2022-02-26,GM,Germany,122621,1419,14574845,1129751
9,2022,2022-03-05,GM,Germany,124051,1430,15674100,1099255
10,2022,2022-03-12,GM,Germany,125521,1470,16994744,1320644
11,2022,2022-03-19,GM,Germany,126867,1346,18548225,1553481
12,2022,2022-03-26,GM,Germany,128388,1521,20145054,1596829
13,2022,2022-04-02,GM,Germany,129987,1599,21553495,1408441
14,2022,2022-04-09,GM,Germany,131715,1728,22647197,1093702
15,2022,2022-04-16,GM,Germany,132942,1227,23416663,769466
16,2022,2022-04-23,GM,Germany,134179,1237,24180512,763849
17,2022,2022-04-30,GM,Germany,135461,1282,24809785,629273
18,2022,2022-05-07,GM,Germany,136533,1072,25295950,486165
19,2022,2022-05-14,GM,Germany,137499,966,25729848,433898
20,2022,2022-05-21,GM,Germany,138325,826,26044283,314435
21,2022,2022-05-28,GM,Germany,138862,537,26243352,199069
22,2022,2022-06-04,GM,Germany,139386,524,26493235,249883
23,2022,2022-06-11,GM,Germany,139806,420,26803867,310632
24,2022,2022-06-18,GM,Germany,140176,370,27204955,401088
25,2022,2022-06-25,GM,Germany,140734,558,27771112,566157
26,2022,2022-07-02,GM,Germany,141292,558,28392630,621518
27,2022,2022-07-09,GM,Germany,141862,570,29022265,629635
28,2022,2022-07-16,GM,Germany,142533,671,29692989,670724
29,2022,2022-07-23,GM,Germany,143177,644,30331133,638144
30,2022,2022-07-30,GM,Germany,143972,795,30853314,522181
31,2022,2022-08-06,GM,Germany,144858,886,31228314,375000
32,2022,2022-08-13,GM,Germany,145698,840,31535343,307029
33,2022,2022-08-20,GM,Germany,146504,806,31808179,272836
34,2022,2022-08-27,GM,Germany,147104,600,32041349,233170
35,2022,2022-09-03,GM,Germany,147762,658,32247828,206479
36,2022,2022-09-10,GM,Germany,148299,537,32452250,204422
37,2022,2022-09-17,GM,Germany,148933,634,32680356,228106
38,2022,2022-09-24,GM,Germany,149458,525,32952050,271694
39,2022,2022-10-01,GM,Germany,150064,606,33386229,434179
40,2022,2022-10-08,GM,Germany,150535,471,33948632,562403
41,2022,2022-10-15,GM,Germany,151420,885,34608837,660205
42,2022,2022-10-22,GM,Germany,152482,1062,35172694,563857
43,2022,2022-10-29,GM,Germany,153544,1062,35571130,398436
44,2022,2022-11-05,GM,Germany,154535,991,35823771,252641
45,2022,2022-11-12,GM,Germany,155588,1053,36033395,209624
46,2022,2022-11-19,GM,Germany,156613,1025,36205405,172010
47,2022,2022-11-26,GM,Germany,157495,882,36373164,167759
48,2022,2022-12-03,GM,Germany,158198,703,36557861,184697
5,2020,2020-02-01,PL,Poland,0,0,0,0
6,2020,2020-02-08,PL,Poland,0,0,0,0
7,2020,2020-02-15,PL,Poland,0,0,0,0
8,2020,2020-02-22,PL,Poland,0,0,0,0
9,2020,2020-02-29,PL,Poland,0,0,0,0
10,2020,2020-03-07,PL,Poland,0,0,5,5
11,2020,2020-03-14,PL,Poland,3,3,103,98
12,2020,2020-03-21,PL,Poland,5,2,536,433
13,2020,2020-03-28,PL,Poland,18,13,1638,1102
14,2020,2020-04-04,PL,Poland,79,61,3627,1989
15,2020,2020-04-11,PL,Poland,208,129,6356,2729
16,2020,2020-04-18,PL,Poland,347,139,8742,2386
17,2020,2020-04-25,PL,Poland,524,177,11273,2531
18,2020,2020-05-02,PL,Poland,664,140,13375,2102
19,2020,2020-05-09,PL,Poland,785,121,15651,2276
20,2020,2020-05-16,PL,Poland,915,130,18257,2606
21,2020,2020-05-23,PL,Poland,993,78,20931,2674
22,2020,2020-05-30,PL,Poland,1061,68,23571,2640
23,2020,2020-06-06,PL,Poland,1153,92,25986,2415
24,2020,2020-06-13,PL,Poland,1237,84,29017,3031
25,2020,2020-06-20,PL,Poland,1346,109,31620,2603
26,2020,2020-06-27,PL,Poland,1435,89,33714,2094
27,2020,2020-07-04,PL,Poland,1512,77,35719,2005
28,2020,2020-07-11,PL,Poland,1568,56,37521,1802
29,2020,2020-07-18,PL,Poland,1618,50,39746,2225
30,2020,2020-07-25,PL,Poland,1664,46,42622,2876
31,2020,2020-08-01,PL,Poland,1721,57,46346,3724
32,2020,2020-08-08,PL,Poland,1800,79,51167,4821
33,2020,2020-08-15,PL,Poland,1869,69,56090,4923
34,2020,2020-08-22,PL,Poland,1951,82,61181,5091
35,2020,2020-08-29,PL,Poland,2032,81,66239,5058
36,2020,2020-09-05,PL,Poland,2113,81,70387,4148
37,2020,2020-09-12,PL,Poland,2182,69,73650,3263
38,2020,2020-09-19,PL,Poland,2282,100,78330,4680
39,2020,2020-09-26,PL,Poland,2424,142,85980,7650
40,2020,2020-10-03,PL,Poland,2604,180,98140,12160
41,2020,2020-10-10,PL,Poland,2972,368,121638,23498
42,2020,2020-10-17,PL,Poland,3524,552,167230,45592
43,2020,2020-10-24,PL,Poland,4351,827,241946,74716
44,2020,2020-10-31,PL,Poland,5631,1280,362731,120785
45,2020,2020-11-07,PL,Poland,7636,2005,521640,158909
46,2020,2020-11-14,PL,Poland,10045,2409,691118,169478
47,2020,2020-11-21,PL,Poland,13288,3243,843475,152357
48,2020,2020-11-28,PL,Poland,16746,3458,973593,130118
49,2020,2020-12-05,PL,Poland,19861,3115,1054273,80680
50,2020,2020-12-12,PL,Poland,22676,2815,1126700,72427
51,2020,2020-12-19,PL,Poland,25254,2578,1194110,67410
52,2020,2020-12-26,PL,Poland,27061,1807,1253957,59847
53,2020,2021-01-02,PL,Poland,29058,1997,1312780,58823
1,2021,2021-01-09,PL,Poland,31011,1953,1376389,63609
2,2021,2021-01-16,PL,Poland,33213,2202,1429612,53223
3,2021,2021-01-23,PL,Poland,35253,2040,1470879,41267
4,2021,2021-01-30,PL,Poland,37082,1829,1508674,37795
5,2021,2021-02-06,PL,Poland,38994,1912,1545530,36856
6,2021,2021-02-13,PL,Poland,40709,1715,1583621,38091
7,2021,2021-02-20,PL,Poland,42077,1368,1631727,48106
8,2021,2021-02-27,PL,Poland,43656,1579,1696885,65158
9,2021,2021-03-06,PL,Poland,45159,1503,1781345,84460
10,2021,2021-03-13,PL,Poland,47068,1909,1889360,108015
11,2021,2021-03-20,PL,Poland,49159,2091,2036700,147340
12,2021,2021-03-27,PL,Poland,51753,2594,2221725,185025
13,2021,2021-04-03,PL,Poland,54737,2984,2415584,193859
14,2021,2021-04-10,PL,Poland,58176,3439,2552898,137314
15,2021,2021-04-17,PL,Poland,61825,3649,2675874,122976
16,2021,2021-04-24,PL,Poland,65222,3397,2751632,75758
17,2021,2021-05-01,PL,Poland,67924,2702,2798617,46985
18,2021,2021-05-08,PL,Poland,69866,1942,2829196,30579
19,2021,2021-05-15,PL,Poland,71609,1743,2851911,22715
20,2021,2021-05-22,PL,Poland,72882,1273,2864546,12635
21,2021,2021-05-29,PL,Poland,73682,800,2871371,6825
22,2021,2021-06-05,PL,Poland,74139,457,2874824,3453
23,2021,2021-06-12,PL,Poland,74562,423,2877243,2419
24,2021,2021-06-19,PL,Poland,74823,261,2878634,1391
25,2021,2021-06-26,PL,Poland,74974,151,2879569,935
26,2021,2021-07-03,PL,Poland,75083,109,2880215,646
27,2021,2021-07-10,PL,Poland,75159,76,2880755,540
28,2021,2021-07-17,PL,Poland,75212,53,2881355,600
29,2021,2021-07-24,PL,Poland,75241,29,2882066,711
30,2021,2021-07-31,PL,Poland,75261,20,2882939,873
31,2021,2021-08-07,PL,Poland,75285,24,2883976,1037
32,2021,2021-08-14,PL,Poland,75299,14,2885185,1209
33,2021,2021-08-21,PL,Poland,75316,17,2886513,1328
34,2021,2021-08-28,PL,Poland,75340,24,2888028,1515
35,2021,2021-09-04,PL,Poland,75379,39,2890161,2133
36,2021,2021-09-11,PL,Poland,75425,46,2893173,3012
37,2021,2021-09-18,PL,Poland,75487,62,2897395,4222
38,2021,2021-09-25,PL,Poland,75571,84,2902591,5196
39,2021,2021-10-02,PL,Poland,75689,118,2909776,7185
40,2021,2021-10-09,PL,Poland,75864,175,2920874,11098
41,2021,2021-10-16,PL,Poland,76111,247,2937069,16195
42,2021,2021-10-23,PL,Poland,76434,323,2968200,31131
43,2021,2021-10-30,PL,Poland,76990,556,3018100,49900
44,2021,2021-11-06,PL,Poland,77733,743,3091713,73613
45,2021,2021-11-13,PL,Poland,78821,1088,3190067,98354
46,2021,2021-11-20,PL,Poland,80781,1960,3326464,136397
47,2021,2021-11-27,PL,Poland,82986,2205,3487254,160790
48,2021,2021-12-04,PL,Poland,85630,2644,3649027,161773
49,2021,2021-12-11,PL,Poland,88414,2784,3808798,159771
50,2021,2021-12-18,PL,Poland,91415,3001,3942864,134066
51,2021,2021-12-25,PL,Poland,94311,2896,4043585,100721
52,2021,2022-01-01,PL,Poland,97559,3248,4120248,76663
1,2022,2022-01-08,PL,Poland,99720,2161,4202090,81842
2,2022,2022-01-15,PL,Poland,102270,2550,4298375,96285
3,2022,2022-01-22,PL,Poland,103819,1549,4484095,185720
4,2022,2022-01-29,PL,Poland,105138,1319,4804390,320295
5,2022,2022-02-05,PL,Poland,106578,1440,5129080,324690
6,2022,2022-02-12,PL,Poland,108089,1511,5379551,250471
7,2022,2022-02-19,PL,Poland,109792,1703,5540302,160751
8,2022,2022-02-26,PL,Poland,111277,1485,5651596,111294
9,2022,2022-03-05,PL,Poland,112535,1258,5734041,82445
10,2022,2022-03-12,PL,Poland,113434,899,5811109,77068
11,2022,2022-03-19,PL,Poland,114206,772,5885446,74337
12,2022,2022-03-26,PL,Poland,114821,615,5939735,54289
13,2022,2022-04-02,PL,Poland,115343,522,5969071,29336
14,2022,2022-04-09,PL,Poland,115635,292,5977773,8702
15,2022,2022-04-16,PL,Poland,115838,203,5984940,7167
16,2022,2022-04-23,PL,Poland,115948,110,5990853,5913
17,2022,2022-04-30,PL,Poland,116059,111,5996514,5661
18,2022,2022-05-07,PL,Poland,116138,79,6000217,3703
19,2022,2022-05-14,PL,Poland,116207,69,6003297,3080
20,2022,2022-05-21,PL,Poland,116268,61,6005436,2139
21,2022,2022-05-28,PL,Poland,116311,43,6007073,1637
22,2022,2022-06-04,PL,Poland,116349,38,6008550,1477
23,2022,2022-06-11,PL,Poland,116371,22,6009989,1439
24,2022,2022-06-18,PL,Poland,116393,22,6011174,1185
25,2022,2022-06-25,PL,Poland,116417,24,6012979,1805
26,2022,2022-07-02,PL,Poland,116435,18,6016249,3270
27,2022,2022-07-09,PL,Poland,116453,18,6021943,5694
28,2022,2022-07-16,PL,Poland,116470,17,6032078,10135
29,2022,2022-07-23,PL,Poland,116510,40,6048411,16333
30,2022,2022-07-30,PL,Poland,116570,60,6069016,20605
31,2022,2022-08-06,PL,Poland,116660,90,6093571,24555
32,2022,2022-08-13,PL,Poland,116773,113,6118482,24911
33,2022,2022-08-20,PL,Poland,116881,108,6142917,24435
34,2022,2022-08-27,PL,Poland,117030,149,6166596,23679
35,2022,2022-09-03,PL,Poland,117153,123,6186948,20352
36,2022,2022-09-10,PL,Poland,117252,99,6211955,25007
37,2022,2022-09-17,PL,Poland,117351,99,6243975,32020
38,2022,2022-09-24,PL,Poland,117456,105,6272576,28601
39,2022,2022-10-01,PL,Poland,117598,142,6297123,24547
40,2022,2022-10-08,PL,Poland,117756,158,6314705,17582
41,2022,2022-10-15,PL,Poland,117900,144,6326446,11741
42,2022,2022-10-22,PL,Poland,118029,129,6334706,8260
43,2022,2022-10-29,PL,Poland,118124,95,6340127,5421
44,2022,2022-11-05,PL,Poland,118170,46,6343675,3548
45,2022,2022-11-12,PL,Poland,118210,40,6346228,2553
46,2022,2022-11-19,PL,Poland,118274,64,6348771,2543
47,2022,2022-11-26,PL,Poland,118306,32,6351237,2466
48,2022,2022-12-03,PL,Poland,118340,34,6354298,3061
