"location","target","model","inverse_wis_weight"
"GM","inc case","FIAS_FZJ-Epi1Ger",0.421062757304454
"GM","inc case","MIT_CovidAnalytics-DELPHI",0.0711459512971772
"GM","inc case","ITWW-county_repro",0.0936924600342352
"GM","inc case","epiforecasts-EpiExpert",0.0938056605739214
"GM","inc case","epiforecasts-EpiNow2",0.320293170790212
"GM","cum case","FIAS_FZJ-Epi1Ger",0.416629775551435
"GM","cum case","ITWW-county_repro",0.110554409951464
"GM","cum case","epiforecasts-EpiExpert",0.106059210237751
"GM","cum case","epiforecasts-EpiNow2",0.366756604259351
"GM","inc death","FIAS_FZJ-Epi1Ger",0.578922809690356
"GM","inc death","MIT_CovidAnalytics-DELPHI",0.127529520296658
"GM","inc death","ITWW-county_repro",0.0957351802278741
"GM","inc death","epiforecasts-EpiExpert",0.0907122763610517
"GM","inc death","epiforecasts-EpiNow2",0.10710021342406
"GM","cum death","FIAS_FZJ-Epi1Ger",0.600264958337581
"GM","cum death","MIT_CovidAnalytics-DELPHI",0.113985082630003
"GM","cum death","ITWW-county_repro",0.0942443582606312
"GM","cum death","epiforecasts-EpiExpert",0.0910056548879008
"GM","cum death","epiforecasts-EpiNow2",0.100499945883884
"PL","inc case","MIT_CovidAnalytics-DELPHI",0.0752077020976979
"PL","inc case","MOCOS-agent1",0.320277528066096
"PL","inc case","ITWW-county_repro",0.265496895359794
"PL","inc case","epiforecasts-EpiExpert",0.117258654588438
"PL","inc case","epiforecasts-EpiNow2",0.221759219887974
"PL","cum case","MOCOS-agent1",0.274189969164801
"PL","cum case","ITWW-county_repro",0.359253470404373
"PL","cum case","epiforecasts-EpiExpert",0.115213593330995
"PL","cum case","epiforecasts-EpiNow2",0.251342967099832
"PL","inc death","MIT_CovidAnalytics-DELPHI",0.069888715182368
"PL","inc death","MOCOS-agent1",0.388928253388759
"PL","inc death","ITWW-county_repro",0.149099865550962
"PL","inc death","epiforecasts-EpiExpert",0.232900844411361
"PL","inc death","epiforecasts-EpiNow2",0.15918232146655
"PL","cum death","MIT_CovidAnalytics-DELPHI",0.0568303511105726
"PL","cum death","MOCOS-agent1",0.351533198271238
"PL","cum death","ITWW-county_repro",0.150099404873727
"PL","cum death","epiforecasts-EpiExpert",0.281246979575366
"PL","cum death","epiforecasts-EpiNow2",0.160290066169097
