"target","location","model","inverse_wis_weight"
"inc case","GM01","FIAS_FZJ-Epi1Ger",0.176123832965035
"inc case","GM01","USC-SIkJalpha",0.208159339966754
"inc case","GM01","ITWW-county_repro",0.295084881738285
"inc case","GM01","epiforecasts-EpiNow2",0.14729430137646
"inc case","GM01","CovidMetrics-epiBATS",0.173337643953465
"inc case","GM02","FIAS_FZJ-Epi1Ger",0.134854556703962
"inc case","GM02","USC-SIkJalpha",0.191242555568077
"inc case","GM02","ITWW-county_repro",0.273981482298779
"inc case","GM02","epiforecasts-EpiNow2",0.216495932831166
"inc case","GM02","CovidMetrics-epiBATS",0.183425472598015
"inc case","GM03","FIAS_FZJ-Epi1Ger",0.124335859244103
"inc case","GM03","USC-SIkJalpha",0.193787408388945
"inc case","GM03","ITWW-county_repro",0.267063661627037
"inc case","GM03","epiforecasts-EpiNow2",0.252163124562666
"inc case","GM03","CovidMetrics-epiBATS",0.16264994617725
"inc case","GM04","FIAS_FZJ-Epi1Ger",0.0458903154852177
"inc case","GM04","USC-SIkJalpha",0.167006407885603
"inc case","GM04","ITWW-county_repro",0.088573029275177
"inc case","GM04","epiforecasts-EpiNow2",0.108845777449056
"inc case","GM04","CovidMetrics-epiBATS",0.589684469904946
"inc case","GM05","FIAS_FZJ-Epi1Ger",0.279543142856013
"inc case","GM05","USC-SIkJalpha",0.1971031190561
"inc case","GM05","ITWW-county_repro",0.26290797683941
"inc case","GM05","epiforecasts-EpiNow2",0.13768446700899
"inc case","GM05","CovidMetrics-epiBATS",0.122761294239487
"inc case","GM06","FIAS_FZJ-Epi1Ger",0.122357327844686
"inc case","GM06","USC-SIkJalpha",0.186876485454038
"inc case","GM06","ITWW-county_repro",0.325638319058416
"inc case","GM06","epiforecasts-EpiNow2",0.216488573626761
"inc case","GM06","CovidMetrics-epiBATS",0.1486392940161
"inc case","GM07","FIAS_FZJ-Epi1Ger",0.175647296847237
"inc case","GM07","USC-SIkJalpha",0.27943905891111
"inc case","GM07","ITWW-county_repro",0.220410681393545
"inc case","GM07","epiforecasts-EpiNow2",0.187883539527783
"inc case","GM07","CovidMetrics-epiBATS",0.136619423320326
"inc case","GM08","FIAS_FZJ-Epi1Ger",0.2390791551289
"inc case","GM08","USC-SIkJalpha",0.16051153345016
"inc case","GM08","ITWW-county_repro",0.319514726231433
"inc case","GM08","epiforecasts-EpiNow2",0.135053411816112
"inc case","GM08","CovidMetrics-epiBATS",0.145841173373394
"inc case","GM09","FIAS_FZJ-Epi1Ger",0.163300720770143
"inc case","GM09","USC-SIkJalpha",0.230646091128741
"inc case","GM09","ITWW-county_repro",0.231082927346038
"inc case","GM09","epiforecasts-EpiNow2",0.214596358796639
"inc case","GM09","CovidMetrics-epiBATS",0.160373901958439
"inc case","GM10","FIAS_FZJ-Epi1Ger",0.0409850202705285
"inc case","GM10","USC-SIkJalpha",0.105458028721837
"inc case","GM10","ITWW-county_repro",0.119569665719297
"inc case","GM10","epiforecasts-EpiNow2",0.181071144104323
"inc case","GM10","CovidMetrics-epiBATS",0.552916141184014
"inc case","GM11","FIAS_FZJ-Epi1Ger",0.0449837540486773
"inc case","GM11","USC-SIkJalpha",0.305296287642018
"inc case","GM11","ITWW-county_repro",0.294409462850296
"inc case","GM11","epiforecasts-EpiNow2",0.148475890880802
"inc case","GM11","CovidMetrics-epiBATS",0.206834604578207
"inc case","GM12","FIAS_FZJ-Epi1Ger",0.0595984316796758
"inc case","GM12","USC-SIkJalpha",0.167380912925378
"inc case","GM12","ITWW-county_repro",0.257953133202241
"inc case","GM12","epiforecasts-EpiNow2",0.136826225836286
"inc case","GM12","CovidMetrics-epiBATS",0.378241296356419
"inc case","GM13","FIAS_FZJ-Epi1Ger",0.158787387512097
"inc case","GM13","USC-SIkJalpha",0.274087451832317
"inc case","GM13","ITWW-county_repro",0.272041963088196
"inc case","GM13","epiforecasts-EpiNow2",0.146532946562706
"inc case","GM13","CovidMetrics-epiBATS",0.148550251004684
"inc case","GM14","FIAS_FZJ-Epi1Ger",0.215769288604154
"inc case","GM14","USC-SIkJalpha",0.185245536396182
"inc case","GM14","ITWW-county_repro",0.287738251888286
"inc case","GM14","epiforecasts-EpiNow2",0.211614797973078
"inc case","GM14","CovidMetrics-epiBATS",0.0996321251383004
"inc case","GM15","FIAS_FZJ-Epi1Ger",0.148045948333276
"inc case","GM15","USC-SIkJalpha",0.237651271830346
"inc case","GM15","ITWW-county_repro",0.288756434468513
"inc case","GM15","epiforecasts-EpiNow2",0.17707679345623
"inc case","GM15","CovidMetrics-epiBATS",0.148469551911635
"inc case","GM16","FIAS_FZJ-Epi1Ger",0.195766312473097
"inc case","GM16","USC-SIkJalpha",0.24638542221043
"inc case","GM16","ITWW-county_repro",0.15177994928247
"inc case","GM16","epiforecasts-EpiNow2",0.0952124879297682
"inc case","GM16","CovidMetrics-epiBATS",0.310855828104235
"cum case","GM01","FIAS_FZJ-Epi1Ger",0.163478657953608
"cum case","GM01","USC-SIkJalpha",0.199561604779623
"cum case","GM01","ITWW-county_repro",0.298701338458715
"cum case","GM01","epiforecasts-EpiNow2",0.15074140615221
"cum case","GM01","CovidMetrics-epiBATS",0.187516992655844
"cum case","GM02","FIAS_FZJ-Epi1Ger",0.131100977593713
"cum case","GM02","USC-SIkJalpha",0.18936183336276
"cum case","GM02","ITWW-county_repro",0.27307944599427
"cum case","GM02","epiforecasts-EpiNow2",0.22126284626389
"cum case","GM02","CovidMetrics-epiBATS",0.185194896785367
"cum case","GM03","FIAS_FZJ-Epi1Ger",0.130805261305836
"cum case","GM03","USC-SIkJalpha",0.168892133351558
"cum case","GM03","ITWW-county_repro",0.263602080197416
"cum case","GM03","epiforecasts-EpiNow2",0.269006447825069
"cum case","GM03","CovidMetrics-epiBATS",0.167694077320121
"cum case","GM04","FIAS_FZJ-Epi1Ger",0.0461916803941066
"cum case","GM04","USC-SIkJalpha",0.165738841508272
"cum case","GM04","ITWW-county_repro",0.0901202477874722
"cum case","GM04","epiforecasts-EpiNow2",0.126683528501566
"cum case","GM04","CovidMetrics-epiBATS",0.571265701808584
"cum case","GM05","FIAS_FZJ-Epi1Ger",0.271052077763569
"cum case","GM05","USC-SIkJalpha",0.190931935192998
"cum case","GM05","ITWW-county_repro",0.277374524631619
"cum case","GM05","epiforecasts-EpiNow2",0.135450684723605
"cum case","GM05","CovidMetrics-epiBATS",0.125190777688208
"cum case","GM06","FIAS_FZJ-Epi1Ger",0.129213252947805
"cum case","GM06","USC-SIkJalpha",0.173592898035926
"cum case","GM06","ITWW-county_repro",0.329684649821857
"cum case","GM06","epiforecasts-EpiNow2",0.217858082642624
"cum case","GM06","CovidMetrics-epiBATS",0.149651116551788
"cum case","GM07","FIAS_FZJ-Epi1Ger",0.171051366784022
"cum case","GM07","USC-SIkJalpha",0.25004379249522
"cum case","GM07","ITWW-county_repro",0.243095041745697
"cum case","GM07","epiforecasts-EpiNow2",0.207912364408823
"cum case","GM07","CovidMetrics-epiBATS",0.127897434566239
"cum case","GM08","FIAS_FZJ-Epi1Ger",0.260581573518019
"cum case","GM08","USC-SIkJalpha",0.143271831680388
"cum case","GM08","ITWW-county_repro",0.313876704103858
"cum case","GM08","epiforecasts-EpiNow2",0.129751874792003
"cum case","GM08","CovidMetrics-epiBATS",0.152518015905732
"cum case","GM09","FIAS_FZJ-Epi1Ger",0.136128012230669
"cum case","GM09","USC-SIkJalpha",0.275947707831957
"cum case","GM09","ITWW-county_repro",0.209365708099386
"cum case","GM09","epiforecasts-EpiNow2",0.22337884735344
"cum case","GM09","CovidMetrics-epiBATS",0.155179724484548
"cum case","GM10","FIAS_FZJ-Epi1Ger",0.0453877278041577
"cum case","GM10","USC-SIkJalpha",0.10338411230866
"cum case","GM10","ITWW-county_repro",0.135747442941245
"cum case","GM10","epiforecasts-EpiNow2",0.216536335760193
"cum case","GM10","CovidMetrics-epiBATS",0.498944381185745
"cum case","GM11","FIAS_FZJ-Epi1Ger",0.0421527603974187
"cum case","GM11","USC-SIkJalpha",0.339968313804512
"cum case","GM11","ITWW-county_repro",0.293131906667777
"cum case","GM11","epiforecasts-EpiNow2",0.152107531747951
"cum case","GM11","CovidMetrics-epiBATS",0.172639487382342
"cum case","GM12","FIAS_FZJ-Epi1Ger",0.0630535698383006
"cum case","GM12","USC-SIkJalpha",0.166620149023
"cum case","GM12","ITWW-county_repro",0.271214841326737
"cum case","GM12","epiforecasts-EpiNow2",0.152697923763384
"cum case","GM12","CovidMetrics-epiBATS",0.346413516048579
"cum case","GM13","FIAS_FZJ-Epi1Ger",0.179017175545546
"cum case","GM13","USC-SIkJalpha",0.261378452628577
"cum case","GM13","ITWW-county_repro",0.260254489342801
"cum case","GM13","epiforecasts-EpiNow2",0.147783103695946
"cum case","GM13","CovidMetrics-epiBATS",0.15156677878713
"cum case","GM14","FIAS_FZJ-Epi1Ger",0.209865479459635
"cum case","GM14","USC-SIkJalpha",0.218502290611878
"cum case","GM14","ITWW-county_repro",0.281178168079013
"cum case","GM14","epiforecasts-EpiNow2",0.199219553551291
"cum case","GM14","CovidMetrics-epiBATS",0.0912345082981834
"cum case","GM15","FIAS_FZJ-Epi1Ger",0.159811949449823
"cum case","GM15","USC-SIkJalpha",0.229883953054981
"cum case","GM15","ITWW-county_repro",0.289921827119863
"cum case","GM15","epiforecasts-EpiNow2",0.180995069583375
"cum case","GM15","CovidMetrics-epiBATS",0.139387200791958
"cum case","GM16","FIAS_FZJ-Epi1Ger",0.201137097732865
"cum case","GM16","USC-SIkJalpha",0.275378092908561
"cum case","GM16","ITWW-county_repro",0.16705397870202
"cum case","GM16","epiforecasts-EpiNow2",0.102740840191656
"cum case","GM16","CovidMetrics-epiBATS",0.253689990464898
"inc death","GM01","FIAS_FZJ-Epi1Ger",0.14560644667329
"inc death","GM01","USC-SIkJalpha",0.191464577874853
"inc death","GM01","ITWW-county_repro",0.247577401787479
"inc death","GM01","epiforecasts-EpiNow2",0.415351573664378
"inc death","GM02","FIAS_FZJ-Epi1Ger",0.0925743814548
"inc death","GM02","USC-SIkJalpha",0.268345041801655
"inc death","GM02","ITWW-county_repro",0.248726935393878
"inc death","GM02","epiforecasts-EpiNow2",0.390353641349667
"inc death","GM03","FIAS_FZJ-Epi1Ger",0.106308487761936
"inc death","GM03","USC-SIkJalpha",0.430338766912461
"inc death","GM03","ITWW-county_repro",0.234523243343828
"inc death","GM03","epiforecasts-EpiNow2",0.228829501981776
"inc death","GM04","FIAS_FZJ-Epi1Ger",0.0868971805386188
"inc death","GM04","USC-SIkJalpha",0.198883673387321
"inc death","GM04","ITWW-county_repro",0.209326518849586
"inc death","GM04","epiforecasts-EpiNow2",0.504892627224474
"inc death","GM05","FIAS_FZJ-Epi1Ger",0.139201336789872
"inc death","GM05","USC-SIkJalpha",0.345974159481214
"inc death","GM05","ITWW-county_repro",0.374174509158245
"inc death","GM05","epiforecasts-EpiNow2",0.14064999457067
"inc death","GM06","FIAS_FZJ-Epi1Ger",0.38573766784485
"inc death","GM06","USC-SIkJalpha",0.269051061222512
"inc death","GM06","ITWW-county_repro",0.255613248744996
"inc death","GM06","epiforecasts-EpiNow2",0.0895980221876427
"inc death","GM07","FIAS_FZJ-Epi1Ger",0.247591552772972
"inc death","GM07","USC-SIkJalpha",0.330015420844171
"inc death","GM07","ITWW-county_repro",0.307534997535234
"inc death","GM07","epiforecasts-EpiNow2",0.114858028847623
"inc death","GM08","FIAS_FZJ-Epi1Ger",0.238428841942999
"inc death","GM08","USC-SIkJalpha",0.236248844047959
"inc death","GM08","ITWW-county_repro",0.159447565358641
"inc death","GM08","epiforecasts-EpiNow2",0.365874748650401
"inc death","GM09","FIAS_FZJ-Epi1Ger",0.0761643766076993
"inc death","GM09","USC-SIkJalpha",0.241036102282981
"inc death","GM09","ITWW-county_repro",0.261551431015449
"inc death","GM09","epiforecasts-EpiNow2",0.421248090093871
"inc death","GM10","FIAS_FZJ-Epi1Ger",0.0721350692053916
"inc death","GM10","USC-SIkJalpha",0.264583275344155
"inc death","GM10","ITWW-county_repro",0.326147205994022
"inc death","GM10","epiforecasts-EpiNow2",0.337134449456431
"inc death","GM11","FIAS_FZJ-Epi1Ger",0.0751951774875133
"inc death","GM11","USC-SIkJalpha",0.431548534158543
"inc death","GM11","ITWW-county_repro",0.257270964271145
"inc death","GM11","epiforecasts-EpiNow2",0.235985324082798
"inc death","GM12","FIAS_FZJ-Epi1Ger",0.0707889800019159
"inc death","GM12","USC-SIkJalpha",0.126746930073471
"inc death","GM12","ITWW-county_repro",0.17768395773765
"inc death","GM12","epiforecasts-EpiNow2",0.624780132186963
"inc death","GM13","FIAS_FZJ-Epi1Ger",0.13811078850397
"inc death","GM13","USC-SIkJalpha",0.336990552147114
"inc death","GM13","ITWW-county_repro",0.366246637316917
"inc death","GM13","epiforecasts-EpiNow2",0.158652022031999
"inc death","GM14","FIAS_FZJ-Epi1Ger",0.351748807412036
"inc death","GM14","USC-SIkJalpha",0.214205071722382
"inc death","GM14","ITWW-county_repro",0.235053806434151
"inc death","GM14","epiforecasts-EpiNow2",0.19899231443143
"inc death","GM15","FIAS_FZJ-Epi1Ger",0.0941473699038015
"inc death","GM15","USC-SIkJalpha",0.04932161987076
"inc death","GM15","ITWW-county_repro",0.359995929858487
"inc death","GM15","epiforecasts-EpiNow2",0.496535080366951
"inc death","GM16","FIAS_FZJ-Epi1Ger",0.263015491120634
"inc death","GM16","USC-SIkJalpha",0.197532943676207
"inc death","GM16","ITWW-county_repro",0.278214146635
"inc death","GM16","epiforecasts-EpiNow2",0.261237418568159
