"forecast_date","target","target_end_date","location","type","quantile","value"
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","point",NA,2620928
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","point",NA,206572
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.01,2609334
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.025,2610608
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.05,2612206
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.1,2614426
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.15,2615563
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.2,2616407
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.25,2617310
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.3,2618132
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.35,2618938
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.4,2619610
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.45,2620361
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.5,2620928
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.55,2621501
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.6,2622190
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.65,2622798
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.7,2623444
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.75,2624272
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.8,2625312
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.85,2626100
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.9,2627532
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.95,2629585
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.975,2631170
2021-04-05,"1 wk ahead cum case",2021-04-10,"PL","quantile",0.99,2633529
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.01,194978
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.025,196252
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.05,197850
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.1,200070
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.15,201207
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.2,202051
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.25,202954
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.3,203776
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.35,204582
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.4,205254
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.45,206005
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.5,206572
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.55,207145
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.6,207834
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.65,208442
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.7,209088
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.75,209916
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.8,210956
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.85,211744
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.9,213176
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.95,215229
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.975,216814
2021-04-05,"1 wk ahead inc case",2021-04-10,"PL","quantile",0.99,219173
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","point",NA,2840830
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","point",NA,219601
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.01,2822662
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.025,2825313
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.05,2826729
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.1,2829845
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.15,2831803
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.2,2833716
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.25,2835156
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.3,2836473
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.35,2837733
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.4,2838803
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.45,2839865
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.5,2840830
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.55,2841770
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.6,2842728
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.65,2843821
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.7,2844529
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.75,2845428
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.8,2846951
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.85,2848310
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.9,2850121
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.95,2853434
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.975,2855846
2021-04-05,"2 wk ahead cum case",2021-04-17,"PL","quantile",0.99,2858997
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.01,207273
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.025,208425
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.05,210192
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.1,212347
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.15,213829
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.2,214989
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.25,215693
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.3,216521
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.35,217428
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.4,218288
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.45,219022
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.5,219601
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.55,220251
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.6,221041
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.65,221877
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.7,222620
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.75,223312
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.8,224228
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.85,225202
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.9,226585
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.95,228108
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.975,229245
2021-04-05,"2 wk ahead inc case",2021-04-17,"PL","quantile",0.99,231570
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","point",NA,3069489
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","point",NA,229023
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.01,3046457
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.025,3048902
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.05,3051747
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.1,3055484
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.15,3058345
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.2,3060628
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.25,3062240
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.3,3064069
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.35,3065360
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.4,3066739
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.45,3068088
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.5,3069489
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.55,3070970
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.6,3072313
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.65,3073667
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.7,3075495
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.75,3077239
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.8,3078993
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.85,3080657
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.9,3082678
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.95,3085671
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.975,3089253
2021-04-05,"3 wk ahead cum case",2021-04-24,"PL","quantile",0.99,3092082
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.01,214546
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.025,216046
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.05,217928
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.1,220035
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.15,221930
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.2,223167
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.25,224144
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.3,225327
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.35,226303
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.4,227401
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.45,228155
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.5,229023
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.55,230185
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.6,231011
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.65,231783
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.7,232658
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.75,233592
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.8,234521
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.85,235562
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.9,237590
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.95,239912
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.975,242375
2021-04-05,"3 wk ahead inc case",2021-04-24,"PL","quantile",0.99,244686
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","point",NA,3304879
2021-04-05,"4 wk ahead inc case",2021-05-01,"PL","point",NA,235845
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.01,3272572
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.025,3277362
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.05,3281038
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.1,3286014
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.15,3289450
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.2,3292396
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.25,3295225
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.3,3297354
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.35,3299301
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.4,3301126
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.45,3302916
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.5,3304879
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.55,3306456
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.6,3309097
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.65,3311016
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.7,3312837
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.75,3315368
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.8,3317693
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.85,3320489
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.9,3325152
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.95,3329942
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.975,3332457
2021-04-05,"4 wk ahead cum case",2021-05-01,"PL","quantile",0.99,3336818
2021-04-05,"4 wk ahead inc case",2021-05-01,"PL","quantile",0.01,210796
2021-04-05,"4 wk ahead inc case",2021-05-01,"PL","quantile",0.025,215861
2021-04-05,"4 wk ahead inc case",2021-05-01,"PL","quantile",0.05,218931
2021-04-05,"4 wk ahead inc case",2021-05-01,"PL","quantile",0.1,221995
2021-04-05,"4 wk ahead inc case",2021-05-01,"PL","quantile",0.15,224379
2021-04-05,"4 wk ahead inc case",2021-05-01,"PL","quantile",0.2,226753
2021-04-05,"4 wk ahead inc case",2021-05-01,"PL","quantile",0.25,228617
