"forecast_date","target","target_end_date","location","type","quantile","value"
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","point",NA,57756
2021-04-05,"1 wk ahead inc death",2021-04-10,"PL","point",NA,3098
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.01,57681
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.025,57690
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.05,57701
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.1,57711
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.15,57720
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.2,57727
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.25,57732
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.3,57737
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.35,57742
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.4,57747
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.45,57752
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.5,57756
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.55,57760
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.6,57765
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.65,57770
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.7,57774
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.75,57779
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.8,57786
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.85,57794
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.9,57802
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.95,57818
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.975,57827
2021-04-05,"1 wk ahead cum death",2021-04-10,"PL","quantile",0.99,57840
2021-04-05,"1 wk ahead inc death",2021-04-10,"PL","quantile",0.01,3023
2021-04-05,"1 wk ahead inc death",2021-04-10,"PL","quantile",0.025,3032
2021-04-05,"1 wk ahead inc death",2021-04-10,"PL","quantile",0.05,3043
2021-04-05,"1 wk ahead inc death",2021-04-10,"PL","quantile",0.1,3053
2021-04-05,"1 wk ahead inc death",2021-04-10,"PL","quantile",0.15,3062
2021-04-05,"1 wk ahead inc death",2021-04-10,"PL","quantile",0.2,3069
2021-04-05,"1 wk ahead inc death",2021-04-10,"PL","quantile",0.25,3074
2021-04-05,"1 wk ahead inc death",2021-04-10,"PL","quantile",0.3,3079
2021-04-05,"1 wk ahead inc death",2021-04-10,"PL","quantile",0.35,3084
2021-04-05,"1 wk ahead inc death",2021-04-10,"PL","quantile",0.4,3089
2021-04-05,"1 wk ahead inc death",2021-04-10,"PL","quantile",0.45,3094
2021-04-05,"1 wk ahead inc death",2021-04-10,"PL","quantile",0.5,3098
2021-04-05,"1 wk ahead inc death",2021-04-10,"PL","quantile",0.55,3102
