forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-09-13,-1 wk ahead inc case,2021-09-04,GM,Germany,observed,NA,71057
2021-09-13,0 wk ahead inc case,2021-09-11,GM,Germany,observed,NA,75107
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,point,NA,83198
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.010,58852
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.025,62691
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.050,66161
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.100,69725
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.150,72336
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.200,74363
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.250,76140
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.300,77630
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.350,78846
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.400,80396
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.450,81791
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.500,83198
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.550,84426
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.600,85844
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.650,87287
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.700,88920
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.750,90637
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.800,92568
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.850,94810
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.900,97981
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.950,102762
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.975,107137
2021-09-13,1 wk ahead inc case,2021-09-18,GM,Germany,quantile,0.990,113170
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,point,NA,93286
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.010,53615
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.025,59384
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.050,64515
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.100,70234
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.150,74408
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.200,77844
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.250,80668
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.300,83343
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.350,85847
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.400,88229
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.450,90806
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.500,93286
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.550,95642
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.600,98146
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.650,101239
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.700,103915
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.750,107450
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.800,110690
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.850,115551
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.900,121541
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.950,131729
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.975,141278
2021-09-13,2 wk ahead inc case,2021-09-25,GM,Germany,quantile,0.990,154534
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,point,NA,104519
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.010,48658
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.025,56100
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.050,62736
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.100,70626
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.150,76454
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.200,81161
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.250,85465
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.300,89455
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.350,92818
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.400,96763
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.450,100529
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.500,104519
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.550,107971
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.600,111826
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.650,116534
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.700,121196
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.750,127249
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.800,132001
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.850,140474
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.900,150203
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.950,168270
2021-09-13,3 wk ahead inc case,2021-10-02,GM,Germany,quantile,0.975,186023
