forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-12-20,-1 wk ahead inc case,2021-12-11,GM,Germany,observed,NA,361147
2021-12-20,0 wk ahead inc case,2021-12-18,GM,Germany,observed,NA,286971
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,point,NA,250578
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.01,225278
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.025,229262
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.05,232689
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.1,236641
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.15,239306
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.2,241425
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.25,243243
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.3,244875
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.35,246388
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.4,247823
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.45,249212
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.5,250578
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.55,251945
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.6,253334
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.65,254769
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.7,256281
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.75,257914
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.8,259731
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.85,261850
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.9,264516
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.95,268467
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.975,271894
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.99,275879
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,point,NA,225578
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.01,163683
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.025,173431
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.05,181815
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.1,191481
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.15,198002
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.2,203186
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.25,207632
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.3,211625
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.35,215326
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.4,218837
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.45,222234
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.5,225578
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.55,228921
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.6,232318
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.65,235830
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.7,239530
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.75,243523
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.8,247970
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.85,253153
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.9,259675
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.95,269341
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.975,277725
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.99,287473
2021-12-20,3 wk ahead inc case,2022-01-08,GM,Germany,point,NA,210083
2021-12-20,3 wk ahead inc case,2022-01-08,GM,Germany,quantile,0.01,111562
2021-12-20,3 wk ahead inc case,2022-01-08,GM,Germany,quantile,0.025,127078
