"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","point",NA,217235
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.01,130311
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.025,146566
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.05,159466
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.1,174444
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.15,183903
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.2,190534
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.25,196109
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.3,200627
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.35,204618
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.4,208614
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.45,212402
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.5,216236
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.55,220134
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.6,224280
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.65,228854
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.7,234335
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.75,240565
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.8,248628
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.85,259695
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.9,277960
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.95,315771
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.975,361618
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.99,437808
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","point",NA,228921
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.01,92260
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.025,112735
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.05,129688
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.1,152519
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.15,166666
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.2,178537
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.25,188034
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.3,196231
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.35,204508
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.4,211929
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.45,219484
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.5,227242
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.55,235248
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.6,243541
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.65,253016
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.7,263617
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.75,276930
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.8,294064
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.85,318396
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.9,359896
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.95,454602
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.975,584258
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.99,870804
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","point",NA,244964
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.01,67793
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.025,86188
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.05,105971
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.1,132539
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.15,152197
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.2,168329
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.25,182078
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.3,194193
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.35,206908
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.4,219255
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.45,230895
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.5,243541
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.55,256542
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.6,271382
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.65,287343
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.7,306434
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.75,328663
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.8,359407
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.85,403612
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.9,482342
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.95,662621
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.975,1000225
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.99,1776498
