"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","point",NA,27427
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.01,18559
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.025,20457
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.05,21754
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.1,23241
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.15,24196
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.2,24855
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.25,25383
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.3,25862
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.35,26274
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.4,26636
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.45,26989
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.5,27341
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.55,27709
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.6,28104
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.65,28530
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.7,29006
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.75,29609
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.8,30373
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.85,31377
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.9,32980
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.95,36379
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.975,40546
"2022-09-12","1 wk ahead inc case","2022-09-17","PL","quantile",0.99,47162
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","point",NA,32114
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.01,14575
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.025,17237
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.05,19609
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.1,22573
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.15,24436
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.2,25975
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.25,27128
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.3,28162
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.35,29112
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.4,30011
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.45,30913
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.5,31854
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.55,32844
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.6,33864
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.65,34997
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.7,36246
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.75,37807
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.8,39817
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.85,42595
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.9,47446
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.95,57979
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.975,72581
"2022-09-12","2 wk ahead inc case","2022-09-24","PL","quantile",0.99,100901
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","point",NA,35419
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.01,10834
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.025,13667
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.05,16517
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.1,20382
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.15,23072
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.2,25204
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.25,27033
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.3,28768
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.35,30443
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.4,32009
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.45,33546
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.5,35204
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.55,36924
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.6,38713
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.65,40762
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.7,43153
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.75,46168
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.8,49877
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.85,55470
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.9,65369
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.95,87111
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.975,127976
"2022-09-12","3 wk ahead inc case","2022-10-01","PL","quantile",0.99,214447
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","point",NA,39347
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.01,8270
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.025,11012
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.05,14058
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.1,18348
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.15,21645
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.2,24589
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.25,27133
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.3,29581
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.35,32029
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.4,34346
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.45,36559
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.5,39093
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.55,41881
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.6,44949
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.65,48530
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.7,52884
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.75,57902
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.8,64482
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.85,74233
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.9,91563
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.95,136638
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.975,212178
"2022-09-12","4 wk ahead inc case","2022-10-08","PL","quantile",0.99,417146
