"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc case","point",NA,26371,"2021-08-14","2021-08-09"
"GM","1 wk ahead inc case","quantile",0.025,7779,"2021-08-14","2021-08-09"
"GM","1 wk ahead inc case","quantile",0.25,20306,"2021-08-14","2021-08-09"
"GM","1 wk ahead inc case","quantile",0.75,33518,"2021-08-14","2021-08-09"
"GM","1 wk ahead inc case","quantile",0.975,96176,"2021-08-14","2021-08-09"
"GM","2 wk ahead inc case","point",NA,33925,"2021-08-21","2021-08-09"
"GM","2 wk ahead inc case","quantile",0.025,2816,"2021-08-21","2021-08-09"
"GM","2 wk ahead inc case","quantile",0.25,18896,"2021-08-21","2021-08-09"
"GM","2 wk ahead inc case","quantile",0.75,50209,"2021-08-21","2021-08-09"
"GM","2 wk ahead inc case","quantile",0.975,263056,"2021-08-21","2021-08-09"
