"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc death","point",NA,33,"2022-04-30","2022-04-25"
"PL","1 wk ahead inc death","quantile",0.025,10,"2022-04-30","2022-04-25"
"PL","1 wk ahead inc death","quantile",0.25,26,"2022-04-30","2022-04-25"
"PL","1 wk ahead inc death","quantile",0.75,42,"2022-04-30","2022-04-25"
"PL","1 wk ahead inc death","quantile",0.975,122,"2022-04-30","2022-04-25"
"PL","2 wk ahead inc death","point",NA,13,"2022-05-07","2022-04-25"
"PL","2 wk ahead inc death","quantile",0.025,1,"2022-05-07","2022-04-25"
"PL","2 wk ahead inc death","quantile",0.25,7,"2022-05-07","2022-04-25"
"PL","2 wk ahead inc death","quantile",0.75,19,"2022-05-07","2022-04-25"
"PL","2 wk ahead inc death","quantile",0.975,101,"2022-05-07","2022-04-25"
