"location","target","type","quantile","value","target_end_date","forecast_date"
"GM","1 wk ahead inc death","point",NA,353,"2022-07-09","2022-07-04"
"GM","1 wk ahead inc death","quantile",0.025,104,"2022-07-09","2022-07-04"
"GM","1 wk ahead inc death","quantile",0.25,272,"2022-07-09","2022-07-04"
"GM","1 wk ahead inc death","quantile",0.75,449,"2022-07-09","2022-07-04"
"GM","1 wk ahead inc death","quantile",0.975,1289,"2022-07-09","2022-07-04"
"GM","2 wk ahead inc death","point",NA,330,"2022-07-16","2022-07-04"
"GM","2 wk ahead inc death","quantile",0.025,27,"2022-07-16","2022-07-04"
"GM","2 wk ahead inc death","quantile",0.25,184,"2022-07-16","2022-07-04"
"GM","2 wk ahead inc death","quantile",0.75,488,"2022-07-16","2022-07-04"
"GM","2 wk ahead inc death","quantile",0.975,2559,"2022-07-16","2022-07-04"
