"location","target","type","quantile","value","target_end_date","forecast_date"
"PL","1 wk ahead inc case","point",NA,25550,"2022-08-27","2022-08-22"
"PL","1 wk ahead inc case","quantile",0.025,7537,"2022-08-27","2022-08-22"
"PL","1 wk ahead inc case","quantile",0.25,19673,"2022-08-27","2022-08-22"
"PL","1 wk ahead inc case","quantile",0.75,32474,"2022-08-27","2022-08-22"
"PL","1 wk ahead inc case","quantile",0.975,93179,"2022-08-27","2022-08-22"
"PL","2 wk ahead inc case","point",NA,25639,"2022-09-03","2022-08-22"
"PL","2 wk ahead inc case","quantile",0.025,2128,"2022-09-03","2022-08-22"
"PL","2 wk ahead inc case","quantile",0.25,14281,"2022-09-03","2022-08-22"
"PL","2 wk ahead inc case","quantile",0.75,37945,"2022-09-03","2022-08-22"
"PL","2 wk ahead inc case","quantile",0.975,198803,"2022-09-03","2022-08-22"
