forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.010,6246
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.010,6129
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.010,6278
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.010,6374
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.025,6645
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.025,6606
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.025,6793
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.025,6786
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.050,6947
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.050,6976
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.050,7110
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.050,7346
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.100,7236
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.100,7560
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.100,7824
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.100,8261
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.150,7495
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.150,7916
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.150,8236
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.150,8663
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.200,7751
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.200,8176
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.200,8631
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.200,9077
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.250,7924
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.250,8368
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.250,8890
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.250,9495
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.300,8086
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.300,8618
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.300,9144
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.300,9786
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.350,8208
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.350,8794
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.350,9322
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.350,9972
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.400,8368
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.400,9015
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.400,9523
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.400,10345
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.450,8562
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.450,9185
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.450,9698
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.450,10700
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,point,NA,8722
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,point,NA,9366
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,point,NA,9890
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,point,NA,11050
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.550,8869
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.550,9582
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.550,10158
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.550,11372
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.600,8991
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.600,9781
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.600,10433
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.600,11587
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.650,9133
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.650,9967
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.650,10725
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.650,11895
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.700,9265
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.700,10186
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.700,10985
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.700,12282
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.750,9477
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.750,10366
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.750,11424
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.750,12785
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.800,9790
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.800,10566
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.800,11845
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.800,13387
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.850,10146
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.850,10990
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.850,12348
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.850,13986
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.900,10510
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.900,11471
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.900,12921
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.900,14978
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.950,10954
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.950,12192
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.950,14000
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.950,15911
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.975,11391
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.975,12902
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.975,14720
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.975,16811
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.990,11776
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.990,13497
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.990,15807
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.990,18807
