forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.010,6071
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.010,6209
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.010,6550
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.010,6381
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.025,6446
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.025,6766
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.025,6826
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.025,6907
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.050,6798
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.050,7139
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.050,7265
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.050,7208
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.100,7103
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.100,7636
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.100,7783
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.100,8075
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.150,7375
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.150,7929
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.150,8244
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.150,8460
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.200,7668
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.200,8176
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.200,8565
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.200,9028
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.250,7873
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.250,8390
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.250,8809
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.250,9308
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.300,8024
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.300,8643
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.300,9054
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.300,9864
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.350,8162
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.350,8798
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.350,9367
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.350,10144
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.400,8310
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.400,8998
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.400,9606
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.400,10421
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.450,8463
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.450,9218
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.450,9841
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.450,10808
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.500,8627
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.500,9434
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.500,10102
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.500,11220
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.550,8805
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.550,9674
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.550,10369
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.550,11584
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.600,9018
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.600,9872
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.600,10638
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.600,11840
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.650,9173
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.650,10119
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.650,10899
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.650,12095
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.700,9382
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.700,10371
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.700,11246
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.700,12550
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.750,9557
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.750,10685
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.750,11686
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.750,12879
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.800,9775
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.800,10974
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.800,12110
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.800,13215
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.850,10004
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.850,11231
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.850,12576
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.850,13688
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.900,10314
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.900,11601
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.900,13229
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.900,14195
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.950,10735
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.950,12189
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.950,14308
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.950,15286
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.975,11023
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.975,12909
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.975,15281
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.975,16672
2021-04-12,1 wk ahead inc case,2021-04-17,GM13,Free State of Saxony,quantile,0.990,11797
2021-04-12,2 wk ahead inc case,2021-04-24,GM13,Free State of Saxony,quantile,0.990,13600
2021-04-12,3 wk ahead inc case,2021-05-01,GM13,Free State of Saxony,quantile,0.990,16127
2021-04-12,4 wk ahead inc case,2021-05-08,GM13,Free State of Saxony,quantile,0.990,17631
