"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","point",NA,196787
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.01,103433
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.025,118135
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.05,130780
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.1,145359
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.15,155196
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.2,163014
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.25,169720
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.3,175743
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.35,181325
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.4,186621
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.45,191745
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.5,196787
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.55,201830
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.6,206954
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.65,212250
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.7,217831
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.75,223854
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.8,230561
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.85,238379
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.9,248215
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.95,262794
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.975,275439
"2022-09-12","1 wk ahead inc case","2022-09-17","GM","quantile",0.99,290142
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","point",NA,190252
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.01,29677
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.025,54966
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.05,76717
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.1,101793
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.15,118713
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.2,132159
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.25,143696
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.3,154055
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.35,163655
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.4,172765
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.45,181578
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.5,190252
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.55,198926
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.6,207739
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.65,216848
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.7,226448
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.75,236808
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.8,248344
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.85,261791
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.9,278710
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.95,303787
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.975,325537
"2022-09-12","2 wk ahead inc case","2022-09-24","GM","quantile",0.99,350827
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","point",NA,185887
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.01,0
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.025,0
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.05,22957
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.1,58944
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.15,83224
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.2,102521
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.25,119076
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.3,133943
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.35,147720
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.4,160792
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.45,173440
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.5,185887
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.55,198335
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.6,210982
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.65,224055
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.7,237831
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.75,252698
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.8,269254
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.85,288551
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.9,312831
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.95,348817
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.975,380030
"2022-09-12","3 wk ahead inc case","2022-10-01","GM","quantile",0.99,416322
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","point",NA,183841
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.01,0
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.025,0
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.05,0
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.1,22882
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.15,53668
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.2,78136
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.25,99127
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.3,117978
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.35,135446
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.4,152022
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.45,168059
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.5,183841
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.55,199624
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.6,215661
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.65,232237
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.7,249705
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.75,268556
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.8,289547
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.85,314015
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.9,344801
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.95,390431
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.975,430008
"2022-09-12","4 wk ahead inc case","2022-10-08","GM","quantile",0.99,476025
