"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","point",NA,9017.53696480745
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.01,4433.49671541438
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.025,5055.71476146919
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.05,5617.45198718822
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.1,6300.12912749794
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.15,6781.52128918326
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.2,7165.63523150823
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.25,7525.68546085165
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.3,7837.03999431049
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.35,8131.2785379804
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.4,8429.09034154165
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.45,8728.22515458238
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.5,9017.53696480745
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.55,9325.2580953908
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.6,9639.75790305834
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.65,9995.48240871922
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.7,10380.0489075558
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.75,10819.2405843518
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.8,11323.8437889212
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.85,11982.6816102305
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.9,12877.00459943
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.95,14521.7351307445
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.975,16059.7058513797
"2021-06-14","1 wk ahead inc case","2021-06-19","GM","quantile",0.99,18355.8316678393
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","point",NA,5877.81159716003
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.01,1970.28668538247
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.025,2421.60425610693
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.05,2857.96310153154
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.1,3407.76024896188
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.15,3799.29911725746
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.2,4131.66529416884
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.25,4438.45896429739
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.3,4739.00310173952
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.35,5012.34516919714
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.4,5291.73328039821
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.45,5574.47096092144
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.5,5877.81159716003
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.55,6166.86568032709
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.6,6497.18363132651
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.65,6878.62544220993
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.7,7298.51224733288
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.75,7794.48821897661
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.8,8392.7866611773
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.85,9221.2613930998
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.9,10344.289991807
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.95,12594.3361281532
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.975,15062.8061807751
"2021-06-14","2 wk ahead inc case","2021-06-26","GM","quantile",0.99,19382.6290908751
