"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.01,0
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.025,0
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.05,0
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.1,0
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.15,0
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.2,1
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.25,101
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.3,134
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.35,176
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.4,186
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.45,197
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.5,199
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.55,201
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.6,212
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.65,222
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.7,264
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.75,296
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.8,397
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.85,486
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.9,600
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.95,756
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.975,964
"2021-07-12","1 wk ahead inc death","2021-07-17","GM","quantile",0.99,1305
"2021-07-12","2 wk ahead inc death","2021-07-24","GM","quantile",0.01,0
"2021-07-12","2 wk ahead inc death","2021-07-24","GM","quantile",0.025,0
"2021-07-12","2 wk ahead inc death","2021-07-24","GM","quantile",0.05,0
"2021-07-12","2 wk ahead inc death","2021-07-24","GM","quantile",0.1,0
"2021-07-12","2 wk ahead inc death","2021-07-24","GM","quantile",0.15,0
"2021-07-12","2 wk ahead inc death","2021-07-24","GM","quantile",0.2,0
"2021-07-12","2 wk ahead inc death","2021-07-24","GM","quantile",0.25,0
"2021-07-12","2 wk ahead inc death","2021-07-24","GM","quantile",0.3,8
"2021-07-12","2 wk ahead inc death","2021-07-24","GM","quantile",0.35,85
"2021-07-12","2 wk ahead inc death","2021-07-24","GM","quantile",0.4,135
"2021-07-12","2 wk ahead inc death","2021-07-24","GM","quantile",0.45,178
"2021-07-12","2 wk ahead inc death","2021-07-24","GM","quantile",0.5,199
"2021-07-12","2 wk ahead inc death","2021-07-24","GM","quantile",0.55,220
"2021-07-12","2 wk ahead inc death","2021-07-24","GM","quantile",0.6,263
"2021-07-12","2 wk ahead inc death","2021-07-24","GM","quantile",0.65,316
