"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","point",NA,2129
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","point",NA,2129
"2021-12-27","3 wk ahead inc death","2022-01-15","GM","point",NA,2129
"2021-12-27","4 wk ahead inc death","2022-01-22","GM","point",NA,2129
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.01,1120
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.025,1443
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.05,1631
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.1,1753
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.15,1858
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.2,1952
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.25,2048
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.3,2073
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.35,2101
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.4,2115
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.45,2126
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.5,2129
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.55,2132
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.6,2143
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.65,2157
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.7,2185
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.75,2210
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.8,2306
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.85,2400
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.9,2505
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.95,2627
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.975,2815
"2021-12-27","1 wk ahead inc death","2022-01-01","GM","quantile",0.99,3138
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.01,844
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.025,1141
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.05,1383
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.1,1604
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.15,1713
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.2,1804
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.25,1888
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.3,1965
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.35,2035
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.4,2075
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.45,2107
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.5,2129
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.55,2152
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.6,2185
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.65,2224
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.7,2294
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.75,2372
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.8,2457
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.85,2547
"2021-12-27","2 wk ahead inc death","2022-01-08","GM","quantile",0.9,2651
