"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","point",NA,185720
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","point",NA,185720
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","point",NA,185720
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","point",NA,185720
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.01,136437
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.025,146605
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.05,156719
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.1,166791
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.15,175349
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.2,180795
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.25,184504
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.3,184836
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.35,185291
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.4,185548
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.45,185634
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.5,185720
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.55,185806
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.6,185892
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.65,186149
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.7,186604
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.75,186936
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.8,190645
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.85,196091
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.9,204649
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.95,214721
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.975,224835
"2022-01-24","1 wk ahead inc case","2022-01-29","PL","quantile",0.99,235003
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.01,117733
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.025,134353
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.05,144350
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.1,157067
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.15,163427
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.2,170468
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.25,175669
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.3,180357
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.35,183472
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.4,184782
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.45,185367
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.5,185720
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.55,186074
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.6,186650
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.65,187894
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.7,190954
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.75,195687
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.8,200987
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.85,208015
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.9,214443
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.95,227291
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.975,237145
"2022-01-24","2 wk ahead inc case","2022-02-05","PL","quantile",0.99,253172
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.01,106748
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.025,123306
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.05,136608
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.1,148772
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.15,158817
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.2,164204
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.25,170124
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.3,175105
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.35,179250
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.4,182634
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.45,184791
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.5,185720
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.55,186635
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.6,188694
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.65,192015
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.7,196288
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.75,201417
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.8,207556
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.85,212910
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.9,222934
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.95,234843
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.975,248141
"2022-01-24","3 wk ahead inc case","2022-02-12","PL","quantile",0.99,264271
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.01,98198
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.025,114353
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.05,128907
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.1,143590
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.15,152751
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.2,160560
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.25,166057
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.3,171407
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.35,176139
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.4,180355
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.45,183852
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.5,185720
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.55,187606
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.6,191010
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.65,195322
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.7,200120
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.75,205558
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.8,210877
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.85,218456
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.9,227847
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.95,242158
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.975,256715
"2022-01-24","4 wk ahead inc case","2022-02-19","PL","quantile",0.99,273214
