"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","point",NA,486165
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","point",NA,486165
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","point",NA,486165
"2022-05-09","4 wk ahead inc case","2022-06-04","GM","point",NA,486165
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.01,195774
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.025,263917
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.05,384185
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.1,450068
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.15,463658
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.2,471943
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.25,477975
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.3,480904
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.35,483548
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.4,485000
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.45,485420
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.5,486165
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.55,486910
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.6,487330
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.65,488782
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.7,491426
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.75,494355
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.8,500387
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.85,508672
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.9,522262
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.95,588145
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.975,708413
"2022-05-09","1 wk ahead inc case","2022-05-14","GM","quantile",0.99,776556
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.01,159795
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.025,222530
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.05,277362
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.1,388488
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.15,433115
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.2,454853
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.25,464033
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.3,471101
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.35,476904
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.4,480935
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.45,484059
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.5,486165
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.55,488307
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.6,491423
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.65,495484
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.7,501205
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.75,508331
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.8,517345
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.85,539144
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.9,584072
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.95,694864
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.975,749170
"2022-05-09","2 wk ahead inc case","2022-05-21","GM","quantile",0.99,811368
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.01,139690
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.025,177089
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.05,243738
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.1,342234
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.15,395934
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.2,429529
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.25,450304
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.3,461655
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.35,469602
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.4,476470
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.45,481890
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.5,486165
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.55,490539
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.6,495945
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.65,502722
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.7,510654
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.75,521927
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.8,542822
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.85,575508
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.9,629091
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.95,726994
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.975,793843
"2022-05-09","3 wk ahead inc case","2022-05-28","GM","quantile",0.99,834776
"2022-05-09","4 wk ahead inc case","2022-06-04","GM","quantile",0.01,94631
"2022-05-09","4 wk ahead inc case","2022-06-04","GM","quantile",0.025,157846
