"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","point",NA,18
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","point",NA,18
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","point",NA,18
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","point",NA,18
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.01,0
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.025,0
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.05,0
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.1,0
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.15,0
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.2,0
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.25,0
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.3,0
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.35,2
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.4,9
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.45,16
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.5,18
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.55,20
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.6,27
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.65,34
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.7,50
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.75,87
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.8,158
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.85,229
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.9,282
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.95,460
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.975,732
"2022-07-11","1 wk ahead inc death","2022-07-16","PL","quantile",0.99,869
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.01,0
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.025,0
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.05,0
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.1,0
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.15,0
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.2,0
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.25,0
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.3,0
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.35,0
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.4,0
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.45,5
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.5,18
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.55,32
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.6,52
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.65,90
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.7,151
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.75,212
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.8,257
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.85,356
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.9,459
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.95,706
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.975,867
"2022-07-11","2 wk ahead inc death","2022-07-23","PL","quantile",0.99,1053
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.01,0
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.025,0
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.05,0
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.1,0
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.15,0
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.2,0
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.25,0
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.3,0
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.35,0
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.4,0
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.45,0
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.5,18
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.55,48
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.6,91
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.65,151
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.7,212
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.75,267
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.8,354
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.85,449
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.9,591
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.95,823
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.975,1016
"2022-07-11","3 wk ahead inc death","2022-07-30","PL","quantile",0.99,1224
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.01,0
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.025,0
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.05,0
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.1,0
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.15,0
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.2,0
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.25,0
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.3,0
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.35,0
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.4,0
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.45,0
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.5,18
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.55,64
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.6,123
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.65,190
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.7,251
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.75,330
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.8,421
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.85,532
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.9,699
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.95,937
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.975,1130
"2022-07-11","4 wk ahead inc death","2022-08-06","PL","quantile",0.99,1375
