"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.01,34661.4306991449
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.025,36250.5285230841
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.05,37974.3381195725
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.1,41222.1569541875
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.15,43942.1510892073
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.2,46233.1333134522
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.25,48227.9116229421
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.3,50056.1094448663
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.35,52187.0768855113
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.4,54747.3596436015
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.45,56426.3859862389
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.5,58035.0602374726
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.55,59738.0425445248
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.6,61386.0341084812
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.65,63121.6530131987
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.7,64966.8097979776
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.75,67055.9904948798
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.8,69343.3006483397
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.85,71992.3722795906
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.9,75470.6148874672
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.95,81214.0208948024
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.975,86112.7018324808
"2021-04-26","1 wk ahead inc case","2021-05-01","PL","quantile",0.99,91713.159954598
"2021-04-26","2 wk ahead inc case","2021-05-08","PL","quantile",0.01,21079.7272723065
"2021-04-26","2 wk ahead inc case","2021-05-08","PL","quantile",0.025,22617.3845496276
"2021-04-26","2 wk ahead inc case","2021-05-08","PL","quantile",0.05,24299.7308289843
"2021-04-26","2 wk ahead inc case","2021-05-08","PL","quantile",0.1,26286.9286960746
"2021-04-26","2 wk ahead inc case","2021-05-08","PL","quantile",0.15,27817.0208321867
"2021-04-26","2 wk ahead inc case","2021-05-08","PL","quantile",0.2,29315.3163183119
"2021-04-26","2 wk ahead inc case","2021-05-08","PL","quantile",0.25,31595.9526005805
"2021-04-26","2 wk ahead inc case","2021-05-08","PL","quantile",0.3,33799.816477806
"2021-04-26","2 wk ahead inc case","2021-05-08","PL","quantile",0.35,36133.7465373658
"2021-04-26","2 wk ahead inc case","2021-05-08","PL","quantile",0.4,39243.7936523039
"2021-04-26","2 wk ahead inc case","2021-05-08","PL","quantile",0.45,41318.5591900238
"2021-04-26","2 wk ahead inc case","2021-05-08","PL","quantile",0.5,43287.7279448115
