"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.01,678.639986654231
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.025,730.310383024824
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.05,777.961252830055
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.1,828.108754709137
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.15,863.019532751338
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.2,890.936050116606
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.25,916.141359345619
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.3,939.790722536276
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.35,962.508099241618
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.4,982.815790511024
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.45,1004.04290388198
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.5,1024.3553830593
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.55,1045.02633335564
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.6,1068.34723953315
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.65,1091.08309478521
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.7,1122.71863513841
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.75,1149.10398545396
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.8,1181.3823429851
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.85,1221.3403951889
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.9,1273.20211494197
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.95,1350.15759150347
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.975,1419.77568346621
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.99,1513.58622036591
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.01,471.020862916447
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.025,529.744355399893
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.05,576.931654900743
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.1,632.291816871583
