"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.01,156.077866545753
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.025,174.430635570802
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.05,195.191408765564
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.1,220.44358063613
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.15,238.466883999389
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.2,253.173816115979
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.25,266.407545993648
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.3,278.605901839988
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.35,291.722725633388
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.4,303.542955379407
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.45,315.833963182582
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.5,328.038402809965
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.55,339.939781882914
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.6,352.995983971989
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.65,366.572829185258
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.7,382.56364086869
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.75,400.267173735316
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.8,421.543158055035
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.85,447.544435440777
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.9,481.580788855925
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.95,534.812486455372
"2021-06-07","1 wk ahead inc death","2021-06-12","PL","quantile",0.975,583.852060304059
