"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","point",NA,1632
"2022-04-04","2 wk ahead inc death","2022-04-16","GM","point",NA,1693
"2022-04-04","3 wk ahead inc death","2022-04-23","GM","point",NA,1623
"2022-04-04","4 wk ahead inc death","2022-04-30","GM","point",NA,1492
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.01,1074
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.025,1138
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.05,1163
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.1,1197
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.15,1220
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.2,1264
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.25,1333
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.3,1381
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.35,1422
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.4,1505
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.45,1550
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.5,1632
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.55,1734
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.6,1762
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.65,1777
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.7,1793
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.75,1811
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.8,1830
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.85,1887
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.9,1979
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.95,2039
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.975,2159
"2022-04-04","1 wk ahead inc death","2022-04-09","GM","quantile",0.99,2354
"2022-04-04","2 wk ahead inc death","2022-04-16","GM","quantile",0.01,844
"2022-04-04","2 wk ahead inc death","2022-04-16","GM","quantile",0.025,889
"2022-04-04","2 wk ahead inc death","2022-04-16","GM","quantile",0.05,931
"2022-04-04","2 wk ahead inc death","2022-04-16","GM","quantile",0.1,985
"2022-04-04","2 wk ahead inc death","2022-04-16","GM","quantile",0.15,1025
"2022-04-04","2 wk ahead inc death","2022-04-16","GM","quantile",0.2,1124
"2022-04-04","2 wk ahead inc death","2022-04-16","GM","quantile",0.25,1259
"2022-04-04","2 wk ahead inc death","2022-04-16","GM","quantile",0.3,1328
"2022-04-04","2 wk ahead inc death","2022-04-16","GM","quantile",0.35,1437
"2022-04-04","2 wk ahead inc death","2022-04-16","GM","quantile",0.4,1482
"2022-04-04","2 wk ahead inc death","2022-04-16","GM","quantile",0.45,1599
