"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","point",NA,36
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","point",NA,28
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","point",NA,26
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","point",NA,23
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.01,7
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.025,11
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.05,13
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.1,15
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.15,19
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.2,21
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.25,24
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.3,26
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.35,28
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.4,32
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.45,34
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.5,36
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.55,38
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.6,40
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.65,42
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.7,44
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.75,47
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.8,51
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.85,55
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.9,62
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.95,75
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.975,86
"2022-05-30","1 wk ahead inc death","2022-06-04","PL","quantile",0.99,98
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.01,5
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.025,7
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.05,9
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.1,11
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.15,13
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.2,16
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.25,18
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.3,20
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.35,21
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.4,24
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.45,27
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.5,28
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.55,31
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.6,34
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.65,35
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.7,38
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.75,40
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.8,44
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.85,47
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.9,54
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.95,67
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.975,76
"2022-05-30","2 wk ahead inc death","2022-06-11","PL","quantile",0.99,92
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.01,3
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.025,5
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.05,6
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.1,8
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.15,10
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.2,11
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.25,13
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.3,14
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.35,16
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.4,18
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.45,20
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.5,26
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.55,28
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.6,29
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.65,31
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.7,32
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.75,36
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.8,39
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.85,47
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.9,54
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.95,76
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.975,90
"2022-05-30","3 wk ahead inc death","2022-06-18","PL","quantile",0.99,98
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.01,1
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.025,3
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.05,4
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.1,6
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.15,7
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.2,8
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.25,9
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.3,10
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.35,12
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.4,13
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.45,15
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.5,23
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.55,25
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.6,26
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.65,27
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.7,29
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.75,32
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.8,34
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.85,38
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.9,47
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.95,64
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.975,83
"2022-05-30","4 wk ahead inc death","2022-06-25","PL","quantile",0.99,103
