"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","point",NA,673456
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","point",NA,743672
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","point",NA,808245
"2022-06-27","4 wk ahead inc case","2022-07-23","GM","point",NA,891410
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.01,427714
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.025,445929
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.05,480547
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.1,517000
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.15,548000
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.2,576000
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.25,603000
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.3,622682
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.35,638789
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.4,651328
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.45,662481
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.5,673456
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.55,684432
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.6,692316
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.65,698091
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.7,719258
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.75,732367
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.8,745982
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.85,748718
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.9,768315
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.95,807623
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.975,831431
"2022-06-27","1 wk ahead inc case","2022-07-02","GM","quantile",0.99,876643
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.01,312000
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.025,370000
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.05,426000
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.1,500000
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.15,562000
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.2,612000
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.25,649561
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.3,665006
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.35,678636
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.4,694840
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.45,726519
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.5,743672
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.55,760389
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.6,794192
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.65,902029
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.7,953246
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.75,983707
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.8,1018775
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.85,1061231
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.9,1117174
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.95,1205559
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.975,1287864
"2022-06-27","2 wk ahead inc case","2022-07-09","GM","quantile",0.99,1347578
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.01,240000
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.025,285669
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.05,321476
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.1,446000
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.15,531000
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.2,589175
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.25,618534
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.3,644961
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.35,668712
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.4,689927
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.45,733350
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.5,808245
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.55,883702
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.6,973624
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.65,1101647
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.7,1268268
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.75,1331998
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.8,1406740
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.85,1428804
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.9,1472587
"2022-06-27","3 wk ahead inc case","2022-07-16","GM","quantile",0.95,1558015
