forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-04-12,-1 day ahead inc death,2021-04-11,GM,Germany,observed,NA,104.0
2021-04-12,0 day ahead inc death,2021-04-12,GM,Germany,observed,NA,99.0
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,point,NA,177.97617349045208
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.010,157.612322571248
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.025,160.71888000877223
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.050,162.98153011090602
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.100,166.01470430187456
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.150,168.25289332182314
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.200,169.96516907478923
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.250,171.3227591360695
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.300,172.48466053986792
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.350,174.1480141284636
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.400,175.60344851848475
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.450,176.81427208665363
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.500,177.97617349045208
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.550,179.45606896265852
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.600,180.81365902393878
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.650,182.34247666051564
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.700,183.8346026738147
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.750,185.5346478856882
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.800,187.55268716596964
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.850,189.9498732201222
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.900,193.53342176025845
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.950,199.03716525193522
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.975,204.12507034646308
2021-04-12,1 day ahead inc death,2021-04-13,GM,Germany,quantile,0.990,210.0813438585666
2021-04-12,2 day ahead inc death,2021-04-14,GM,Germany,point,NA,179.9027082398816
2021-04-12,2 day ahead inc death,2021-04-14,GM,Germany,quantile,0.010,156.43363417941612
2021-04-12,2 day ahead inc death,2021-04-14,GM,Germany,quantile,0.025,159.77797723303243
2021-04-12,2 day ahead inc death,2021-04-14,GM,Germany,quantile,0.050,162.31557086582026
2021-04-12,2 day ahead inc death,2021-04-14,GM,Germany,quantile,0.100,165.6892502620122
2021-04-12,2 day ahead inc death,2021-04-14,GM,Germany,quantile,0.150,168.3881937789657
2021-04-12,2 day ahead inc death,2021-04-14,GM,Germany,quantile,0.200,170.2070470186518
2021-04-12,2 day ahead inc death,2021-04-14,GM,Germany,quantile,0.250,172.05523660091345
2021-04-12,2 day ahead inc death,2021-04-14,GM,Germany,quantile,0.300,173.37537201681462
