forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-12-20,-1 wk ahead inc case,2021-12-11,GM,Germany,observed,NA,361147
2021-12-20,0 wk ahead inc case,2021-12-18,GM,Germany,observed,NA,286971
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,point,NA,232889
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.010,199417
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.025,203885
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.050,207811
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.100,212253
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.150,215843
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.200,218400
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.250,220311
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.300,223307
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.350,226303
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.400,228447
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.450,231210
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.500,232889
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.550,235317
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.600,237925
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.650,240508
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.700,243400
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.750,246396
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.800,252285
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.850,256314
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.900,262848
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.950,273824
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.975,285834
2021-12-20,1 wk ahead inc case,2021-12-25,GM,Germany,quantile,0.990,300451
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,point,NA,187271
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.010,147993
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.025,153335
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.050,157662
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.100,162703
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.150,166767
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.200,170040
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.250,172260
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.300,175495
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.350,179032
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.400,181929
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.450,185164
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.500,187271
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.550,190845
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.600,194306
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.650,197617
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.700,201868
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.750,205668
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.800,212779
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.850,218949
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.900,227903
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.950,243667
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.975,260823
2021-12-20,2 wk ahead inc case,2022-01-01,GM,Germany,quantile,0.990,281929
2021-12-20,3 wk ahead inc case,2022-01-08,GM,Germany,point,NA,150470
2021-12-20,3 wk ahead inc case,2022-01-08,GM,Germany,quantile,0.010,110111
2021-12-20,3 wk ahead inc case,2022-01-08,GM,Germany,quantile,0.025,115210
