forecast_date,target,target_end_date,location,location_name,type,quantile,value
2022-01-17,-1 wk ahead inc death,2022-01-08,GM,Germany,observed,NA,1791
2022-01-17,0 wk ahead inc death,2022-01-15,GM,Germany,observed,NA,1672
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,point,NA,3632
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.010,3211
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.025,3285
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.050,3324
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.100,3410
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.150,3464
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.200,3495
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.250,3507
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.300,3524
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.350,3550
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.400,3580
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.450,3610
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.500,3632
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.550,3653
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.600,3679
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.650,3699
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.700,3729
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.750,3764
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.800,3797
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.850,3850
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.900,3911
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.950,4022
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.975,4145
2022-01-17,1 wk ahead inc death,2022-01-22,GM,Germany,quantile,0.990,4305
2022-01-17,2 wk ahead inc death,2022-01-29,GM,Germany,point,NA,5902
2022-01-17,2 wk ahead inc death,2022-01-29,GM,Germany,quantile,0.010,4891
2022-01-17,2 wk ahead inc death,2022-01-29,GM,Germany,quantile,0.025,5023
