target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.01,48948.0
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.025,50185.3
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.05,51055.0
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.1,52018.5
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.15,53050.3
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.2,53130.9
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.25,53777.5
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.3,54021.8
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.35,54136.3
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.4,54793.5
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.45,54825.7
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.5,54839.1
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.55,55177.4
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.6,55257.8
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.65,55371.4
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.7,55741.0
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.75,55978.3
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.8,56149.8
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.85,57075.3
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.9,57394.6
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.95,57763.9
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.975,59259.4
1 wk ahead inc case,2021-11-15,2021-11-20,GM01,quantile,0.99,60562.4
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.01,83074.5
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.025,84600.7
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.05,85553.3
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.1,86657.3
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.15,88043.4
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.2,88143.9
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.25,88899.2
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.3,89229.9
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.35,89294.6
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.4,90197.7
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.45,90258.3
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.5,90265.4
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.55,90626.3
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.6,90632.3
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.65,90783.6
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.7,91265.4
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.75,91576.8
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.8,91773.2
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.85,92939.6
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.9,93335.2
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.95,93628.8
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.975,95644.3
1 wk ahead inc case,2021-11-15,2021-11-20,GM02,quantile,0.99,97192.2
