target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.01,25.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.025,59.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.05,146.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.1,194.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.15,261.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.2,294.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.25,395.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.3,452.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.35,540.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.4,626.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.45,670.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.5,738.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.55,809.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.6,891.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.65,994.4
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.7,1129.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.75,1184.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.8,1345.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.85,1479.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.9,1753.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.95,2230.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.975,3011.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM01,quantile,0.99,4313.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.01,0.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.025,5.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.05,29.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.1,51.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.15,75.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.2,102.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.25,184.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.3,227.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.35,261.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.4,333.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.45,385.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.5,445.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.55,503.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.6,602.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.65,724.4
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.7,875.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.75,937.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.8,1140.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.85,1294.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.9,1603.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.95,2179.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.975,3090.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM02,quantile,0.99,4625.3
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.01,4.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.025,7.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.05,14.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.1,19.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.15,23.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.2,25.8
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.25,32.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.3,37.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.35,43.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.4,48.5
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.45,51.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.5,55.6
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.55,60.2
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.6,64.7
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.65,70.9
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.7,79.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.75,82.0
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.8,91.1
1 wk ahead inc case,2021-06-28,2021-07-03,GM03,quantile,0.85,99.3
