target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.01,3751.7
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.025,6679.7
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.05,12926.8
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.1,14987.5
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.15,16453.2
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.2,17841.8
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.25,18798.8
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.3,21026.9
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.35,21832.0
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.4,23301.3
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.45,23381.7
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.5,24569.0
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.55,24980.8
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.6,25960.7
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.65,26199.0
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.7,27289.9
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.75,27698.1
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.8,29400.8
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.85,31035.2
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.9,33248.5
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.95,36324.4
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.975,40223.6
1 wk ahead inc case,2022-09-19,2022-09-24,GM01,quantile,0.99,48347.4
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.01,15173.1
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.025,21604.3
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.05,29262.3
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.1,32016.6
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.15,34066.0
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.2,35825.3
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.25,37064.5
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.3,39804.0
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.35,40978.1
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.4,43024.4
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.45,43079.8
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.5,44588.7
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.55,45028.5
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.6,46599.3
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.65,46907.9
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.7,48221.7
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.75,48769.4
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.8,50786.8
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.85,52970.5
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.9,55528.1
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.95,59500.9
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.975,64336.2
1 wk ahead inc case,2022-09-19,2022-09-24,GM02,quantile,0.99,74298.6
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.01,919.6
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.025,1274.0
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.05,1679.6
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.1,1830.3
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.15,1945.3
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.2,2049.9
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.25,2114.9
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.3,2269.0
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.35,2319.2
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.4,2446.0
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.45,2451.1
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.5,2521.5
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.55,2560.2
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.6,2642.7
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.65,2662.9
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.7,2731.2
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.75,2774.5
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.8,2870.6
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.85,2992.9
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.9,3136.5
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.95,3347.3
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.975,3632.5
1 wk ahead inc case,2022-09-19,2022-09-24,GM03,quantile,0.99,4170.4
1 wk ahead inc case,2022-09-19,2022-09-24,GM04,quantile,0.01,700.1
1 wk ahead inc case,2022-09-19,2022-09-24,GM04,quantile,0.025,1156.0
1 wk ahead inc case,2022-09-19,2022-09-24,GM04,quantile,0.05,2115.6
