target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.01,54939.2
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.025,56272.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.05,58000.5
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.1,58921.4
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.15,59771.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.2,60696.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.25,61072.9
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.3,61457.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.35,61848.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.4,62101.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.45,62253.8
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.5,62560.5
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.55,62665.4
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.6,62892.8
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.65,63178.9
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.7,63940.4
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.75,64179.2
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.8,64683.9
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.85,65393.5
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.9,65933.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.95,67304.8
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.975,68801.4
1 wk ahead inc case,2021-12-06,2021-12-11,GM01,quantile,0.99,71458.3
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.01,58357.9
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.025,59928.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.05,62016.5
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.1,63101.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.15,64106.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.2,65213.3
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.25,65648.8
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.3,66069.4
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.35,66576.8
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.4,66902.1
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.45,67047.3
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.5,67393.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.55,67527.2
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.6,67776.1
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.65,68147.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.7,69095.9
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.75,69349.2
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.8,69939.4
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.85,70801.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.9,71437.6
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.95,73047.2
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.975,74873.8
1 wk ahead inc case,2021-12-06,2021-12-11,GM02,quantile,0.99,77998.8
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.01,875.8
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.025,949.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.05,1041.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.1,1099.3
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.15,1146.9
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.2,1198.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.25,1227.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.3,1246.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.35,1268.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.4,1280.5
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.45,1291.2
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.5,1308.4
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.55,1316.6
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.6,1330.3
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.65,1344.8
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.7,1375.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.75,1389.4
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.8,1416.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.85,1461.6
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.9,1493.8
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.95,1580.6
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.975,1668.8
1 wk ahead inc case,2021-12-06,2021-12-11,GM03,quantile,0.99,1812.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.01,3250.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.025,3455.9
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.05,3712.3
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.1,3867.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.15,3997.4
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.2,4142.5
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.25,4218.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.3,4274.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.35,4332.6
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.4,4366.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.45,4395.8
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.5,4445.4
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.55,4465.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.6,4503.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.65,4542.5
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.7,4632.9
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.75,4671.1
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.8,4747.2
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.85,4867.5
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.9,4955.3
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.95,5192.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.975,5433.9
1 wk ahead inc case,2021-12-06,2021-12-11,GM04,quantile,0.99,5829.6
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.01,13602.9
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.025,14312.8
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.05,15220.2
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.1,15734.6
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.15,16185.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.2,16699.5
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.25,16948.4
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.3,17136.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.35,17338.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.4,17464.8
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.45,17566.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.5,17734.1
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.55,17798.1
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.6,17926.4
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.65,18065.5
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.7,18398.6
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.75,18528.1
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.8,18792.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.85,19203.6
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.9,19503.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.95,20313.8
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.975,21150.5
1 wk ahead inc case,2021-12-06,2021-12-11,GM05,quantile,0.99,22523.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.01,12101.1
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.025,12980.2
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.05,14070.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.1,14745.9
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.15,15315.5
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.2,15914.6
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.25,16242.2
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.3,16481.9
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.35,16737.4
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.4,16905.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.45,17019.4
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.5,17229.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.55,17321.9
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.6,17477.1
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.65,17646.3
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.7,18030.1
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.75,18194.3
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.8,18516.7
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.85,19039.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.9,19413.4
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.95,20423.6
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.975,21488.8
1 wk ahead inc case,2021-12-06,2021-12-11,GM06,quantile,0.99,23190.2
1 wk ahead inc case,2021-12-06,2021-12-11,GM07,quantile,0.01,45182.0
1 wk ahead inc case,2021-12-06,2021-12-11,GM07,quantile,0.025,47222.4
1 wk ahead inc case,2021-12-06,2021-12-11,GM07,quantile,0.05,49812.3
1 wk ahead inc case,2021-12-06,2021-12-11,GM07,quantile,0.1,51299.3
1 wk ahead inc case,2021-12-06,2021-12-11,GM07,quantile,0.15,52597.8
1 wk ahead inc case,2021-12-06,2021-12-11,GM07,quantile,0.2,54035.1
1 wk ahead inc case,2021-12-06,2021-12-11,GM07,quantile,0.25,54751.4
