"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","point",NA,1616.29705387643
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.01,765.153162966771
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.025,1034.11869034222
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.05,1071.71068100455
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.1,1406.53013031763
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.15,1477.78249333373
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.2,1507.71761394414
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.25,1541.33863973069
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.3,1586.13857943269
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.35,1605.32104476562
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.4,1606.90348317815
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.45,1608.49191043883
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.5,1616.29705387643
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.55,1619.3614504149
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.6,1629.48199362624
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.65,1632.13279710993
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.7,1636.27202577884
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.75,1667.00564063933
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.8,1690.26690824416
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.85,1721.80993207726
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.9,1809.00900018683
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.95,1905.3809238444
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.975,2282.76250598718
"2021-05-03","1 wk ahead inc death","2021-05-08","GM","quantile",0.99,2629.87008788079
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","point",NA,1578.33803328727
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.01,743.324693673012
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.025,928.27138654404
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.05,1099.83217844992
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.1,1266.89076201718
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.15,1334.68257438223
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.2,1442.53241159793
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.25,1457.88029014057
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.3,1524.77460623199
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.35,1544.70113469207
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.4,1569.7710992053
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.45,1574.93711987344
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.5,1578.33803328727
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.55,1586.17637022609
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.6,1589.69997125951
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.65,1591.62555555988
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.7,1593.87636006946
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.75,1608.60900326322
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.8,1642.30401241636
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.85,1660.14233501181
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.9,1724.81190129235
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.95,1884.03636094748
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.975,2477.96178794765
"2021-05-03","2 wk ahead inc death","2021-05-15","GM","quantile",0.99,2777.11924116009
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","point",NA,1554.67375018875
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.01,589.562800660036
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.025,719.878963562404
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.05,777.884384591885
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.1,935.812607542175
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.15,1080.13542742324
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.2,1297.38557637983
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.25,1352.62666117599
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.3,1458.83187018837
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.35,1520.01312455963
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.4,1536.26572709308
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.45,1542.13353567717
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.5,1554.67375018875
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.55,1555.55506912264
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.6,1560.42694506968
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.65,1573.98606717373
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.7,1590.34980074663
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.75,1614.76128141255
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.8,1666.51642078037
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.85,1818.2625228393
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.9,1861.05595703432
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.95,2270.29059414113
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.975,2539.41296739737
"2021-05-03","3 wk ahead inc death","2021-05-22","GM","quantile",0.99,2640.46690694312
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","point",NA,1505.96748215924
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.01,445.011917541823
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.025,488.801408936273
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.05,528.356382284724
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.1,633.394442606716
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.15,974.964351424555
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.2,1310.55997680055
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.25,1328.40721618159
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.3,1367.80350720065
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.35,1488.44545101866
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.4,1499.91364697644
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.45,1501.26165129977
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.5,1505.96748215924
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.55,1518.47989682891
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.6,1518.47989682891
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.65,1532.46452970471
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.7,1562.61472013958
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.75,1592.27381651153
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.8,1644.01930771973
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.85,1828.04544554413
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.9,1950.57473338929
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.95,2452.71843395884
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.975,2860.52072156348
"2021-05-03","4 wk ahead inc death","2021-05-29","GM","quantile",0.99,2953.48289869219
