"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","point",NA,2485
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.01,2061
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.025,2107
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.05,2177
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.1,2233
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.15,2287
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.2,2334
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.25,2393
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.3,2420
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.35,2449
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.4,2461
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.45,2477
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.5,2485
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.55,2493
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.6,2503
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.65,2519
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.7,2544
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.75,2576
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.8,2616
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.85,2663
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.9,2702
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.95,2768
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.975,2844
"2021-12-20","1 wk ahead inc death","2021-12-25","GM","quantile",0.99,2894
"2021-12-20","2 wk ahead inc death","2022-01-01","GM","point",NA,2218
"2021-12-20","2 wk ahead inc death","2022-01-01","GM","quantile",0.01,1628
"2021-12-20","2 wk ahead inc death","2022-01-01","GM","quantile",0.025,1686
"2021-12-20","2 wk ahead inc death","2022-01-01","GM","quantile",0.05,1758
"2021-12-20","2 wk ahead inc death","2022-01-01","GM","quantile",0.1,1820
"2021-12-20","2 wk ahead inc death","2022-01-01","GM","quantile",0.15,1908
"2021-12-20","2 wk ahead inc death","2022-01-01","GM","quantile",0.2,1996
"2021-12-20","2 wk ahead inc death","2022-01-01","GM","quantile",0.25,2053
"2021-12-20","2 wk ahead inc death","2022-01-01","GM","quantile",0.3,2110
"2021-12-20","2 wk ahead inc death","2022-01-01","GM","quantile",0.35,2155
"2021-12-20","2 wk ahead inc death","2022-01-01","GM","quantile",0.4,2182
"2021-12-20","2 wk ahead inc death","2022-01-01","GM","quantile",0.45,2205
"2021-12-20","2 wk ahead inc death","2022-01-01","GM","quantile",0.5,2218
"2021-12-20","2 wk ahead inc death","2022-01-01","GM","quantile",0.55,2229
"2021-12-20","2 wk ahead inc death","2022-01-01","GM","quantile",0.6,2255
"2021-12-20","2 wk ahead inc death","2022-01-01","GM","quantile",0.65,2278
