"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","point",NA,251164
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.01,64299
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.025,80814
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.05,96715
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.1,114296
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.15,130207
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.2,146389
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.25,160357
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.3,181170
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.35,200219
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.4,220218
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.45,240685
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.5,251164
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.55,262412
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.6,280704
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.65,298159
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.7,321270
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.75,350079
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.8,371487
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.85,399974
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.9,433265
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.95,471375
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.975,504413
"2022-09-19","1 wk ahead inc case","2022-09-24","GM","quantile",0.99,536226
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","point",NA,277508
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.01,53593
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.025,71528
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.05,88070
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.1,104794
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.15,122617
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.2,140973
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.25,160439
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.3,183949
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.35,208429
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.4,232930
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.45,256354
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.5,277508
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.55,297224
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.6,329342
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.65,379505
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.7,432645
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.75,493052
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.8,553433
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.85,614537
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.9,681609
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.95,760248
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.975,830544
"2022-09-19","2 wk ahead inc case","2022-10-01","GM","quantile",0.99,884414
"2022-09-19","3 wk ahead inc case","2022-10-08","GM","point",NA,308438
"2022-09-19","3 wk ahead inc case","2022-10-08","GM","quantile",0.01,0
"2022-09-19","3 wk ahead inc case","2022-10-08","GM","quantile",0.025,4769
"2022-09-19","3 wk ahead inc case","2022-10-08","GM","quantile",0.05,27504
"2022-09-19","3 wk ahead inc case","2022-10-08","GM","quantile",0.1,65520
"2022-09-19","3 wk ahead inc case","2022-10-08","GM","quantile",0.15,105002
"2022-09-19","3 wk ahead inc case","2022-10-08","GM","quantile",0.2,133370
"2022-09-19","3 wk ahead inc case","2022-10-08","GM","quantile",0.25,154180
"2022-09-19","3 wk ahead inc case","2022-10-08","GM","quantile",0.3,172202
"2022-09-19","3 wk ahead inc case","2022-10-08","GM","quantile",0.35,193100
"2022-09-19","3 wk ahead inc case","2022-10-08","GM","quantile",0.4,224176
"2022-09-19","3 wk ahead inc case","2022-10-08","GM","quantile",0.45,262641
"2022-09-19","3 wk ahead inc case","2022-10-08","GM","quantile",0.5,308438
"2022-09-19","3 wk ahead inc case","2022-10-08","GM","quantile",0.55,383896
"2022-09-19","3 wk ahead inc case","2022-10-08","GM","quantile",0.6,473817
"2022-09-19","3 wk ahead inc case","2022-10-08","GM","quantile",0.65,564830
"2022-09-19","3 wk ahead inc case","2022-10-08","GM","quantile",0.7,657665
"2022-09-19","3 wk ahead inc case","2022-10-08","GM","quantile",0.75,753396
