forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-06-07,-1 day ahead inc death,2021-06-06,PL,Poland,observed,NA,13.0
2021-06-07,0 day ahead inc death,2021-06-07,PL,Poland,observed,NA,8.0
2021-06-07,-1 day ahead cum death,2021-06-06,PL,Poland,observed,NA,74083
2021-06-07,0 day ahead cum death,2021-06-07,PL,Poland,observed,NA,74091
2021-06-07,-1 wk ahead inc death,2021-05-29,PL,Poland,observed,NA,800.0
2021-06-07,0 wk ahead inc death,2021-06-05,PL,Poland,observed,NA,457.0
2021-06-07,-1 wk ahead cum death,2021-05-29,PL,Poland,observed,NA,73669
2021-06-07,0 wk ahead cum death,2021-06-05,PL,Poland,observed,NA,74083
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,point,NA,39.714285714285715
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.01,0.0
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.025,0.0
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.05,2.5419178432730725
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.1,11.548876151258014
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.15,18.048810872550554
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.2,22.00817460988814
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.25,25.935172319639754
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.3,28.75161082940832
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.35,31.12954235166263
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.4,33.57030412972058
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.45,36.26107993247335
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.5,39.087822890154214
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.55,41.94670348347366
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.6,44.80014501616556
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.65,48.42739760944632
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.7,51.0885589851803
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.75,55.17844344917154
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.8,59.08188696734226
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.85,62.51587996715746
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.9,65.81817037357445
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.95,74.87561790885732
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.975,80.17398120819932
2021-06-07,1 day ahead inc death,2021-06-08,PL,Poland,quantile,0.99,86.98173242161486
2021-06-07,2 day ahead inc death,2021-06-09,PL,Poland,point,NA,38.57142857142857
2021-06-07,2 day ahead inc death,2021-06-09,PL,Poland,quantile,0.01,0.0
2021-06-07,2 day ahead inc death,2021-06-09,PL,Poland,quantile,0.025,0.0
2021-06-07,2 day ahead inc death,2021-06-09,PL,Poland,quantile,0.05,4.766390803942311
2021-06-07,2 day ahead inc death,2021-06-09,PL,Poland,quantile,0.1,12.829278814487367
2021-06-07,2 day ahead inc death,2021-06-09,PL,Poland,quantile,0.15,17.678169189082396
2021-06-07,2 day ahead inc death,2021-06-09,PL,Poland,quantile,0.2,20.71572355134743
2021-06-07,2 day ahead inc death,2021-06-09,PL,Poland,quantile,0.25,23.472150592256373
2021-06-07,2 day ahead inc death,2021-06-09,PL,Poland,quantile,0.3,26.127481975079654
2021-06-07,2 day ahead inc death,2021-06-09,PL,Poland,quantile,0.35,29.114019210431778
2021-06-07,2 day ahead inc death,2021-06-09,PL,Poland,quantile,0.4,31.053809599130933
