forecast_date,target,target_end_date,location,location_name,type,quantile,value
2022-02-14,-1 day ahead inc case,2022-02-13,PL,Poland,observed,NA,22070
2022-02-14,0 day ahead inc case,2022-02-14,PL,Poland,observed,NA,13473
2022-02-14,-1 day ahead cum case,2022-02-13,PL,Poland,observed,NA,5400895
2022-02-14,0 day ahead cum case,2022-02-14,PL,Poland,observed,NA,5414368
2022-02-14,-1 wk ahead inc case,2022-02-05,PL,Poland,observed,NA,324656
2022-02-14,0 wk ahead inc case,2022-02-12,PL,Poland,observed,NA,251142
2022-02-14,-1 wk ahead cum case,2022-02-05,PL,Poland,observed,NA,5162386
2022-02-14,0 wk ahead cum case,2022-02-12,PL,Poland,observed,NA,5400895
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,point,NA,23060
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.01,16571
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.025,17647
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.05,18479
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.1,19452
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.15,20175
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.2,20797
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.25,21187
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.3,21667
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.35,22076
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.4,22449
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.45,22787
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.5,23150
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.55,23530
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.6,23895
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.65,24287
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.7,24696
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.75,25057
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.8,25481
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.85,25966
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.9,26675
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.95,27705
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.975,28616
2022-02-14,1 day ahead inc case,2022-02-15,PL,Poland,quantile,0.99,29412
2022-02-14,2 day ahead inc case,2022-02-16,PL,Poland,point,NA,20812
2022-02-14,2 day ahead inc case,2022-02-16,PL,Poland,quantile,0.01,13947
2022-02-14,2 day ahead inc case,2022-02-16,PL,Poland,quantile,0.025,14947
