"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.01,792.433471679688
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.025,927.856201171875
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.05,1020.5833050096
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.1,1126.68284623128
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.15,1191.08602345203
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.2,1257.23483900673
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.25,1321.79516601562
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.3,1373.20524375702
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.35,1424.25170598355
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.4,1478.06860351562
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.45,1527.54330329159
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.5,1577.80322265625
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","point",NA,1577.80322265625
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.55,1631.68576554185
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.6,1692.87172829433
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.65,1757.5596312915
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.7,1820.31274410542
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.75,1887.9792920143
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.8,1959.7418380859
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.85,2047.67085300739
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.9,2175.00759596618
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.95,2344.59313460954
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.975,2468.31558227464
"2021-04-26","1 wk ahead inc death","2021-05-01","GM","quantile",0.99,2658.78307935216
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.01,739.841365770115
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.025,853.387451171875
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.05,943.6044921875
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.1,1068.22861169403
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.15,1159.25556522839
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.2,1240.35628404999
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.25,1321.83128467022
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.3,1389.63134765625
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.35,1459.86682122585
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.4,1523.61549828899
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.45,1604.3546317012
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.5,1673.88424702574
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","point",NA,1673.88424702574
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.55,1748.03538815545
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.6,1832.61742170907
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.65,1921.52428909285
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.7,2028.55961913775
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.75,2116.29687283887
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.8,2239.49449686061
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.85,2371.48152928606
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.9,2548.22622067379
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.95,2814.15286892595
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.975,3053.10965524238
"2021-04-26","2 wk ahead inc death","2021-05-08","GM","quantile",0.99,3384.55724235326
"2021-04-26","3 wk ahead inc death","2021-05-15","GM","quantile",0.01,656.248105579555
"2021-04-26","3 wk ahead inc death","2021-05-15","GM","quantile",0.025,795.465536142149
"2021-04-26","3 wk ahead inc death","2021-05-15","GM","quantile",0.05,890.068359375001
