"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.01,626.026167567891
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.025,678.352767316934
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.05,735.889785606262
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.1,809.941636501333
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.15,857.883749022917
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.2,903.815222740188
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.25,949.440059315535
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.3,992.843994140625
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.35,1035.57673609339
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.4,1075.3266112865
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.45,1119.74083852552
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.5,1153.13525390625
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","point",NA,1153.13525390625
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.55,1192.54102394943
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.6,1235.32267000778
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.65,1281.45991621873
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.7,1335.24487304687
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.75,1384.50638903062
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.8,1442.99028089537
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.85,1522.21849212241
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.9,1607.45913418731
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.95,1728.88461263837
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.975,1832.59985787296
"2021-05-24","1 wk ahead inc death","2021-05-29","GM","quantile",0.99,1961.92311501852
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.01,502.94189453125
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.025,566.124076289572
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.05,621.178222656251
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.1,699.08740234375
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.15,752.896142769837
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.2,807.773681640626
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.25,861.154052734376
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.3,910.873838258961
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.35,963.056884703042
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.4,1015.17366355892
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.45,1070.52587890625
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.5,1120.20971679688
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","point",NA,1120.20971679688
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.55,1179.76806640625
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.6,1236.87313958303
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.65,1290.24692095616
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.7,1354.69327318333
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.75,1439.63183590569
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.8,1509.07371482034
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.85,1618.54150390625
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.9,1750.60302734375
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.95,1939.98232862043
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.975,2107.7891814967
"2021-05-24","2 wk ahead inc death","2021-06-05","GM","quantile",0.99,2308.71290176149
"2021-05-24","3 wk ahead inc death","2021-06-12","GM","quantile",0.01,420.03049200524
"2021-05-24","3 wk ahead inc death","2021-06-12","GM","quantile",0.025,495.465332031249
