"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.01,212.41783813475
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.025,243.831018158554
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.05,285.262303462453
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.1,339.611328107092
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.15,386.777227403101
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.2,429.010961637777
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.25,471.034088124081
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.3,509.362570190813
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.35,554.342852692248
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.4,595.201836582932
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.45,636.763512511935
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.5,677.49404771072
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","point",NA,677.49404771072
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.55,722.202402566781
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.6,767.161352524824
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.65,823.184529198002
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.7,880.300659179686
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.75,942.307005563285
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.8,1024.42684534733
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.85,1136.92075972444
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.9,1270.36732183952
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.95,1478.65159756787
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.975,1673.05124536185
"2021-05-31","1 wk ahead inc death","2021-06-05","PL","quantile",0.99,1968.47762001789
