"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.01,290
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.025,312
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.05,339
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.1,371
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.15,400
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.2,419
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.25,440
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.3,458
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.35,471
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.4,486
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.45,501
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.5,516
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","point",NA,516
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.55,531
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.6,545
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.65,562
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.7,581
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.75,601
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.8,619
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.85,646
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.9,682
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.95,739
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.975,785
"2021-07-19","1 wk ahead inc case","2021-07-24","PL","quantile",0.99,837
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.01,225
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.025,257
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.05,278
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.1,319
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.15,348
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.2,371
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.25,392
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.3,415
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.35,432
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.4,448
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.45,468
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.5,484
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","point",NA,484
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.55,504
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.6,524
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.65,549
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.7,571
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.75,595
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.8,622
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.85,655
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.9,705
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.95,788
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.975,863
"2021-07-19","2 wk ahead inc case","2021-07-31","PL","quantile",0.99,941
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.01,170
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.025,196
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.05,226
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.1,268
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.15,296
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.2,326
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.25,348
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.3,370
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.35,389
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.4,413
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.45,436
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.5,462
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","point",NA,462
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.55,486
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.6,508
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.65,541
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.7,571
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.75,608
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.8,647
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.85,687
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.9,756
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.95,865
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.975,969
"2021-07-19","3 wk ahead inc case","2021-08-07","PL","quantile",0.99,1089
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.01,120
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.025,146
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.05,177
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.1,216
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.15,245
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.2,272
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.25,301
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.3,328
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.35,353
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.4,378
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.45,408
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.5,437
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","point",NA,437
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.55,473
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.6,511
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.65,550
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.7,594
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.75,639
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.8,686
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.85,752
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.9,846
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.95,987
"2021-07-19","4 wk ahead inc case","2021-08-14","PL","quantile",0.975,1102
