"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.01,31
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.025,40
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.05,49
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.1,61
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.15,67
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.2,72
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.25,78
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.3,82
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.35,86
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.4,91
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.45,95
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.5,98
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","point",NA,98
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.55,103
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.6,107
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.65,112
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.7,117
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.75,122
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.8,128
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.85,135
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.9,144
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.95,159
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.975,172
"2021-09-27","1 wk ahead inc death","2021-10-02","PL","quantile",0.99,185
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.01,32
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.025,45
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.05,56
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.1,69
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.15,78
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.2,87
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.25,93
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.3,100
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.35,107
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.4,114
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.45,121
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.5,127
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","point",NA,127
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.55,133
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.6,139
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.65,146
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.7,154
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.75,164
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.8,175
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.85,187
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.9,204
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.95,234
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.975,256
"2021-09-27","2 wk ahead inc death","2021-10-09","PL","quantile",0.99,290
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.01,30
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.025,46
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.05,59
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.1,75
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.15,89
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.2,102
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.25,114
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.3,123
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.35,133
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.4,142
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.45,153
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.5,164
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","point",NA,164
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.55,174
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.6,185
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.65,199
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.7,212
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.75,226
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.8,244
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.85,269
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.9,303
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.95,364
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.975,425
"2021-09-27","3 wk ahead inc death","2021-10-16","PL","quantile",0.99,485
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.01,26
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.025,45
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.05,62
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.1,84
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.15,102
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.2,115
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.25,129
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.3,144
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.35,157
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.4,173
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.45,190
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.5,207
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","point",NA,207
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.55,229
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.6,249
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.65,266
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.7,292
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.75,323
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.8,361
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.85,412
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.9,483
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.95,601
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.975,766
"2021-09-27","4 wk ahead inc death","2021-10-23","PL","quantile",0.99,1009
