"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.01,36150
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.025,39651
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.05,42659
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.1,46376
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.15,48532
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.2,50351
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.25,51944
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.3,53433
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.35,54816
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.4,56123
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.45,57322
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.5,58647
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","point",NA,58647
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.55,59915
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.6,61412
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.65,62785
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.7,64089
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.75,65895
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.8,67817
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.85,69837
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.9,72487
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.95,76250
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.975,80205
"2021-10-11","1 wk ahead inc case","2021-10-16","GM","quantile",0.99,85152
"2021-10-11","2 wk ahead inc case","2021-10-23","GM","quantile",0.01,34742
"2021-10-11","2 wk ahead inc case","2021-10-23","GM","quantile",0.025,39162
"2021-10-11","2 wk ahead inc case","2021-10-23","GM","quantile",0.05,42441
"2021-10-11","2 wk ahead inc case","2021-10-23","GM","quantile",0.1,46204
"2021-10-11","2 wk ahead inc case","2021-10-23","GM","quantile",0.15,48730
