forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-04-22,-1 day ahead cum death,2021-04-21,PL,Poland,observed,NA,63221.230277172
2021-04-22,-1 day ahead inc death,2021-04-21,PL,Poland,observed,NA,436.848242177987
2021-04-22,0 day ahead cum death,2021-04-22,PL,Poland,observed,NA,63644.7610545594
2021-04-22,0 day ahead inc death,2021-04-22,PL,Poland,observed,NA,423.530777387375
2021-04-22,0 wk ahead cum death,2021-04-24,PL,Poland,point,NA,64445.9856174569
2021-04-22,1 day ahead cum death,2021-04-23,PL,Poland,point,NA,64053.5125833909
2021-04-22,1 day ahead inc death,2021-04-23,PL,Poland,point,NA,408.751528831523
2021-04-22,1 wk ahead cum death,2021-05-01,PL,Poland,point,NA,66836.1731198834
2021-04-22,10 day ahead cum death,2021-05-02,PL,Poland,point,NA,67144.7276370498
2021-04-22,10 day ahead inc death,2021-05-02,PL,Poland,point,NA,308.554517166248
2021-04-22,10 wk ahead cum death,2021-07-03,PL,Poland,point,NA,75938.472973164
2021-04-22,100 day ahead cum death,2021-07-31,PL,Poland,point,NA,76327.9588031286
2021-04-22,100 day ahead inc death,2021-07-31,PL,Poland,point,NA,7.50912072281361
2021-04-22,101 day ahead cum death,2021-08-01,PL,Poland,point,NA,76335.2571510538
2021-04-22,101 day ahead inc death,2021-08-01,PL,Poland,point,NA,7.29834792520813
2021-04-22,11 day ahead cum death,2021-05-03,PL,Poland,point,NA,67446.9661850384
2021-04-22,11 day ahead inc death,2021-05-03,PL,Poland,point,NA,302.238547988734
2021-04-22,11 wk ahead cum death,2021-07-10,PL,Poland,point,NA,76089.3714731754
2021-04-22,12 day ahead cum death,2021-05-04,PL,Poland,point,NA,67743.6313840772
2021-04-22,12 day ahead inc death,2021-05-04,PL,Poland,point,NA,296.665199038662
2021-04-22,12 wk ahead cum death,2021-07-17,PL,Poland,point,NA,76193.9176015115
2021-04-22,13 day ahead cum death,2021-05-05,PL,Poland,point,NA,68035.3226463712
2021-04-22,13 day ahead inc death,2021-05-05,PL,Poland,point,NA,291.691262294106
2021-04-22,13 wk ahead cum death,2021-07-24,PL,Poland,point,NA,76269.8772699906
2021-04-22,14 day ahead cum death,2021-05-06,PL,Poland,point,NA,68322.3705742434
2021-04-22,14 day ahead inc death,2021-05-06,PL,Poland,point,NA,287.047927872162
2021-04-22,14 wk ahead cum death,2021-07-31,PL,Poland,point,NA,76327.9588031286
2021-04-22,15 day ahead cum death,2021-05-07,PL,Poland,point,NA,68604.5526110917
2021-04-22,15 day ahead inc death,2021-05-07,PL,Poland,point,NA,282.182036848441
2021-04-22,16 day ahead cum death,2021-05-08,PL,Poland,point,NA,68881.317895208
2021-04-22,16 day ahead inc death,2021-05-08,PL,Poland,point,NA,276.765284116214
2021-04-22,17 day ahead cum death,2021-05-09,PL,Poland,point,NA,69151.113980013
2021-04-22,17 day ahead inc death,2021-05-09,PL,Poland,point,NA,269.796084805055
2021-04-22,18 day ahead cum death,2021-05-10,PL,Poland,point,NA,69414.2156582612
2021-04-22,18 day ahead inc death,2021-05-10,PL,Poland,point,NA,263.101678248024
2021-04-22,19 day ahead cum death,2021-05-11,PL,Poland,point,NA,69671.0192050861
2021-04-22,19 day ahead inc death,2021-05-11,PL,Poland,point,NA,256.8035468251
2021-04-22,2 day ahead cum death,2021-04-24,PL,Poland,point,NA,64445.9856174569
2021-04-22,2 day ahead inc death,2021-04-24,PL,Poland,point,NA,392.473034066086
2021-04-22,2 wk ahead cum death,2021-05-08,PL,Poland,point,NA,68881.317895208
2021-04-22,20 day ahead cum death,2021-05-12,PL,Poland,point,NA,69922.2271861302
2021-04-22,20 day ahead inc death,2021-05-12,PL,Poland,point,NA,251.207981043997
2021-04-22,21 day ahead cum death,2021-05-13,PL,Poland,point,NA,70167.9704626954
2021-04-22,21 day ahead inc death,2021-05-13,PL,Poland,point,NA,245.743276565297
2021-04-22,22 day ahead cum death,2021-05-14,PL,Poland,point,NA,70408.7054947781
2021-04-22,22 day ahead inc death,2021-05-14,PL,Poland,point,NA,240.73503208263
2021-04-22,23 day ahead cum death,2021-05-15,PL,Poland,point,NA,70643.7113231041
2021-04-22,23 day ahead inc death,2021-05-15,PL,Poland,point,NA,235.00582832598
2021-04-22,24 day ahead cum death,2021-05-16,PL,Poland,point,NA,70873.3099608267
2021-04-22,24 day ahead inc death,2021-05-16,PL,Poland,point,NA,229.59863772257
2021-04-22,25 day ahead cum death,2021-05-17,PL,Poland,point,NA,71096.6699626601
2021-04-22,25 day ahead inc death,2021-05-17,PL,Poland,point,NA,223.360001833404
2021-04-22,26 day ahead cum death,2021-05-18,PL,Poland,point,NA,71314.1490218046
2021-04-22,26 day ahead inc death,2021-05-18,PL,Poland,point,NA,217.479059144388
2021-04-22,27 day ahead cum death,2021-05-19,PL,Poland,point,NA,71525.7088469385
2021-04-22,27 day ahead inc death,2021-05-19,PL,Poland,point,NA,211.559825134238
2021-04-22,28 day ahead cum death,2021-05-20,PL,Poland,point,NA,71732.0464008777
2021-04-22,28 day ahead inc death,2021-05-20,PL,Poland,point,NA,206.3375539391
2021-04-22,29 day ahead cum death,2021-05-21,PL,Poland,point,NA,71933.4070198805
2021-04-22,29 day ahead inc death,2021-05-21,PL,Poland,point,NA,201.360619002811
2021-04-22,3 day ahead cum death,2021-04-25,PL,Poland,point,NA,64820.732054515
2021-04-22,3 day ahead inc death,2021-04-25,PL,Poland,point,NA,374.746437057905
2021-04-22,3 wk ahead cum death,2021-05-15,PL,Poland,point,NA,70643.7113231041
2021-04-22,30 day ahead cum death,2021-05-22,PL,Poland,point,NA,72129.1544563281
2021-04-22,30 day ahead inc death,2021-05-22,PL,Poland,point,NA,195.747436447639
2021-04-22,31 day ahead cum death,2021-05-23,PL,Poland,point,NA,72318.6746631471
2021-04-22,31 day ahead inc death,2021-05-23,PL,Poland,point,NA,189.520206818885
2021-04-22,32 day ahead cum death,2021-05-24,PL,Poland,point,NA,72502.3738568089
2021-04-22,32 day ahead inc death,2021-05-24,PL,Poland,point,NA,183.699193661698
2021-04-22,33 day ahead cum death,2021-05-25,PL,Poland,point,NA,72679.8700563015
2021-04-22,33 day ahead inc death,2021-05-25,PL,Poland,point,NA,177.496199492626
2021-04-22,34 day ahead cum death,2021-05-26,PL,Poland,point,NA,72851.0789137774
2021-04-22,34 day ahead inc death,2021-05-26,PL,Poland,point,NA,171.208857476125
2021-04-22,35 day ahead cum death,2021-05-27,PL,Poland,point,NA,73016.227665664
2021-04-22,35 day ahead inc death,2021-05-27,PL,Poland,point,NA,165.14875188646
2021-04-22,36 day ahead cum death,2021-05-28,PL,Poland,point,NA,73175.7369921058
