forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-05-06,-1 day ahead cum death,2021-05-05,GM,Germany,observed,NA,121382.035061527
2021-05-06,-1 day ahead inc death,2021-05-05,GM,Germany,observed,NA,325.652760971946
2021-05-06,0 day ahead cum death,2021-05-06,GM,Germany,observed,NA,121707.190586319
2021-05-06,0 day ahead inc death,2021-05-06,GM,Germany,observed,NA,325.155524791932
2021-05-06,0 wk ahead cum death,2021-05-08,GM,Germany,point,NA,122352.9684155
2021-05-06,1 day ahead cum death,2021-05-07,GM,Germany,point,NA,122031.070500718
2021-05-06,1 day ahead inc death,2021-05-07,GM,Germany,point,NA,323.879914399077
2021-05-06,1 wk ahead cum death,2021-05-15,GM,Germany,point,NA,124570.805624557
2021-05-06,10 day ahead cum death,2021-05-16,GM,Germany,point,NA,124885.836784761
2021-05-06,10 day ahead inc death,2021-05-16,GM,Germany,point,NA,315.031160203421
2021-05-06,10 wk ahead cum death,2021-07-17,GM,Germany,point,NA,135482.16211843
2021-05-06,100 day ahead cum death,2021-08-14,GM,Germany,point,NA,135920.928039432
2021-05-06,100 day ahead inc death,2021-08-14,GM,Germany,point,NA,6.61929592676635
2021-05-06,101 day ahead cum death,2021-08-15,GM,Germany,point,NA,135927.236398299
2021-05-06,101 day ahead inc death,2021-08-15,GM,Germany,point,NA,6.30835886718155
2021-05-06,102 day ahead cum death,2021-08-16,GM,Germany,point,NA,135933.25402329
2021-05-06,102 day ahead inc death,2021-08-16,GM,Germany,point,NA,6.01762499079149
2021-05-06,103 day ahead cum death,2021-08-17,GM,Germany,point,NA,135938.998543127
2021-05-06,103 day ahead inc death,2021-08-17,GM,Germany,point,NA,5.74451983673294
2021-05-06,104 day ahead cum death,2021-08-18,GM,Germany,point,NA,135944.486841729
2021-05-06,104 day ahead inc death,2021-08-18,GM,Germany,point,NA,5.48829860280172
2021-05-06,105 day ahead cum death,2021-08-19,GM,Germany,point,NA,135949.737558309
2021-05-06,105 day ahead inc death,2021-08-19,GM,Germany,point,NA,5.25071658010315
2021-05-06,106 day ahead cum death,2021-08-20,GM,Germany,point,NA,135954.768704359
2021-05-06,106 day ahead inc death,2021-08-20,GM,Germany,point,NA,5.03114604933143
2021-05-06,107 day ahead cum death,2021-08-21,GM,Germany,point,NA,135959.594053401
2021-05-06,107 day ahead inc death,2021-08-21,GM,Germany,point,NA,4.82534904211612
2021-05-06,108 day ahead cum death,2021-08-22,GM,Germany,point,NA,135964.226645928
2021-05-06,108 day ahead inc death,2021-08-22,GM,Germany,point,NA,4.63259252696189
2021-05-06,109 day ahead cum death,2021-08-23,GM,Germany,point,NA,135968.679186968
2021-05-06,109 day ahead inc death,2021-08-23,GM,Germany,point,NA,4.45254103974672
2021-05-06,11 day ahead cum death,2021-05-17,GM,Germany,point,NA,125199.847430474
2021-05-06,11 day ahead inc death,2021-05-17,GM,Germany,point,NA,314.010645713125
2021-05-06,11 wk ahead cum death,2021-07-24,GM,Germany,point,NA,135667.39630075
2021-05-06,110 day ahead cum death,2021-08-24,GM,Germany,point,NA,135972.963979477
2021-05-06,110 day ahead inc death,2021-08-24,GM,Germany,point,NA,4.28479250959905
2021-05-06,111 day ahead cum death,2021-08-25,GM,Germany,point,NA,135977.092291428
2021-05-06,111 day ahead inc death,2021-08-25,GM,Germany,point,NA,4.12831195105766
2021-05-06,112 day ahead cum death,2021-08-26,GM,Germany,point,NA,135981.074437395
2021-05-06,112 day ahead inc death,2021-08-26,GM,Germany,point,NA,3.98214596712108
2021-05-06,113 day ahead cum death,2021-08-27,GM,Germany,point,NA,135984.919953498
2021-05-06,113 day ahead inc death,2021-08-27,GM,Germany,point,NA,3.84551610292855
2021-05-06,114 day ahead cum death,2021-08-28,GM,Germany,point,NA,135988.637981202
2021-05-06,114 day ahead inc death,2021-08-28,GM,Germany,point,NA,3.71802770400314
2021-05-06,115 day ahead cum death,2021-08-29,GM,Germany,point,NA,135992.237402383
2021-05-06,115 day ahead inc death,2021-08-29,GM,Germany,point,NA,3.59942118068888
2021-05-06,116 day ahead cum death,2021-08-30,GM,Germany,point,NA,135995.726214173
2021-05-06,116 day ahead inc death,2021-08-30,GM,Germany,point,NA,3.48881178943237
2021-05-06,117 day ahead cum death,2021-08-31,GM,Germany,point,NA,135999.112884932
2021-05-06,117 day ahead inc death,2021-08-31,GM,Germany,point,NA,3.38667075980102
2021-05-06,118 day ahead cum death,2021-09-01,GM,Germany,point,NA,136002.404945795
2021-05-06,118 day ahead inc death,2021-09-01,GM,Germany,point,NA,3.29206086289741
2021-05-06,12 day ahead cum death,2021-05-18,GM,Germany,point,NA,125512.797421695
2021-05-06,12 day ahead inc death,2021-05-18,GM,Germany,point,NA,312.949991221292
2021-05-06,12 wk ahead cum death,2021-07-31,GM,Germany,point,NA,135787.342523188
2021-05-06,13 day ahead cum death,2021-05-19,GM,Germany,point,NA,125824.187017344
2021-05-06,13 day ahead inc death,2021-05-19,GM,Germany,point,NA,311.389595649442
2021-05-06,13 wk ahead cum death,2021-08-07,GM,Germany,point,NA,135866.728521363
2021-05-06,14 day ahead cum death,2021-05-20,GM,Germany,point,NA,126133.471277718
2021-05-06,14 day ahead inc death,2021-05-20,GM,Germany,point,NA,309.284260373732
