"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.01,9052
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.025,9886
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.05,10664
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.1,11638
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.15,12345
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.2,12937
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.25,13468
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.3,13963
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.35,14439
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.4,14904
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.45,15369
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.5,15841
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.55,16327
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.6,16837
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.65,17380
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.7,17971
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.75,18632
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.8,19396
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.85,20327
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.9,21562
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.95,23531
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.975,25384
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","quantile",0.99,27723
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.01,8955
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.025,10412
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.05,11852
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.1,13762
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.15,15221
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.2,16491
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.25,17664
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.3,18789
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.35,19894
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.4,21004
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.45,22136
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.5,23310
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.55,24546
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.6,25870
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.65,27312
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.7,28920
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.75,30761
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.8,32949
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.85,35698
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.9,39483
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.95,45845
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.975,52188
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","quantile",0.99,60674
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.01,8590
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.025,10683
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.05,12887
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.1,15997
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.15,18510
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.2,20785
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.25,22959
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.3,25104
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.35,27270
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.4,29498
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.45,31827
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.5,34299
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.55,36962
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.6,39880
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.65,43139
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.7,46862
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.75,51240
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.8,56599
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.85,63557
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.9,73538
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.95,91288
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.975,110119
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","quantile",0.99,136949
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.01,8203
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.025,10921
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.05,13968
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.1,18550
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.15,22464
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.2,26155
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.25,29801
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.3,33507
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.35,37352
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.4,41407
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.45,45748
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.5,50466
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.55,55669
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.6,61507
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.65,68184
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.7,76007
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.75,85459
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.8,97373
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.85,113374
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.9,137293
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.95,182333
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.975,233205
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","quantile",0.99,310457
"2021-07-26","1 wk ahead inc case","2021-07-31","GM","point",NA,15841
"2021-07-26","2 wk ahead inc case","2021-08-07","GM","point",NA,23310
"2021-07-26","3 wk ahead inc case","2021-08-14","GM","point",NA,34299
"2021-07-26","4 wk ahead inc case","2021-08-21","GM","point",NA,50466
