"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.01,78
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.025,95
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.05,112
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.1,137
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.15,157
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.2,174
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.25,191
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.3,207
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.35,223
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.4,240
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.45,257
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.5,276
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.55,295
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.6,316
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.65,340
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.7,367
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.75,398
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.8,436
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.85,485
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.9,554
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.95,675
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.975,802
"2021-09-06","1 wk ahead inc death","2021-09-11","GM","quantile",0.99,979
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.01,84
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.025,106
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.05,128
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.1,160
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.15,186
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.2,210
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.25,233
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.3,255
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.35,278
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.4,302
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.45,326
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.5,353
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.55,381
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.6,412
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.65,447
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.7,487
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.75,534
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.8,591
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.85,667
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.9,775
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.95,969
"2021-09-06","2 wk ahead inc death","2021-09-18","GM","quantile",0.975,1176
