"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.01,5
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.025,6
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.05,8
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.1,10
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.15,12
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.2,14
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.25,16
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.3,18
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.35,21
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.4,23
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.45,25
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.5,28
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.55,30
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.6,33
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.65,37
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.7,41
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.75,46
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.8,53
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.85,61
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.9,74
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.95,97
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.975,124
"2022-06-06","1 wk ahead inc death","2022-06-11","PL","quantile",0.99,164
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.01,3
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.025,4
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.05,6
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.1,8
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.15,9
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.2,11
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.25,12
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.3,14
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.35,16
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.4,17
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.45,19
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.5,21
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.55,23
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.6,26
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.65,29
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.7,32
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.75,36
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.8,41
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.85,48
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.9,59
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.95,78
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.975,101
"2022-06-06","2 wk ahead inc death","2022-06-18","PL","quantile",0.99,135
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.01,2
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.025,3
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.05,4
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.1,6
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.15,7
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.2,8
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.25,9
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.3,11
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.35,12
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.4,13
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.45,15
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.5,16
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.55,18
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.6,20
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.65,23
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.7,25
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.75,29
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.8,33
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.85,39
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.9,48
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.95,65
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.975,84
"2022-06-06","3 wk ahead inc death","2022-06-25","PL","quantile",0.99,114
"2022-06-06","4 wk ahead inc death","2022-07-02","PL","quantile",0.01,2
"2022-06-06","4 wk ahead inc death","2022-07-02","PL","quantile",0.025,2
