"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.01,575
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.025,646
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.05,714
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.1,802
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.15,867
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.2,923
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.25,973
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.3,1021
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.35,1067
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.4,1113
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.45,1159
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.5,1206
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.55,1256
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.6,1308
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.65,1364
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.7,1426
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.75,1496
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.8,1577
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.85,1678
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.9,1815
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.95,2037
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.975,2252
"2022-06-27","1 wk ahead inc case","2022-07-02","PL","quantile",0.99,2531
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.01,417
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.025,489
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.05,561
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.1,657
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.15,731
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.2,796
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.25,855
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.3,913
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.35,970
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.4,1027
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.45,1086
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.5,1147
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.55,1211
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.6,1280
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.65,1356
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.7,1440
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.75,1537
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.8,1653
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.85,1799
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.9,2001
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.95,2343
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.975,2687
"2022-06-27","2 wk ahead inc case","2022-07-09","PL","quantile",0.99,3150
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.01,297
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.025,364
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.05,435
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.1,533
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.15,611
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.2,681
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.25,748
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.3,813
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.35,879
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.4,946
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.45,1016
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.5,1090
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.55,1169
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.6,1256
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.65,1352
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.7,1461
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.75,1589
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.8,1745
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.85,1945
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.9,2231
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.95,2733
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.975,3260
"2022-06-27","3 wk ahead inc case","2022-07-16","PL","quantile",0.99,4001
"2022-06-27","4 wk ahead inc case","2022-07-23","PL","quantile",0.01,210
"2022-06-27","4 wk ahead inc case","2022-07-23","PL","quantile",0.025,270
"2022-06-27","4 wk ahead inc case","2022-07-23","PL","quantile",0.05,335
"2022-06-27","4 wk ahead inc case","2022-07-23","PL","quantile",0.1,430
"2022-06-27","4 wk ahead inc case","2022-07-23","PL","quantile",0.15,509
"2022-06-27","4 wk ahead inc case","2022-07-23","PL","quantile",0.2,582
"2022-06-27","4 wk ahead inc case","2022-07-23","PL","quantile",0.25,652
"2022-06-27","4 wk ahead inc case","2022-07-23","PL","quantile",0.3,723
"2022-06-27","4 wk ahead inc case","2022-07-23","PL","quantile",0.35,795
"2022-06-27","4 wk ahead inc case","2022-07-23","PL","quantile",0.4,871
"2022-06-27","4 wk ahead inc case","2022-07-23","PL","quantile",0.45,950
