forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.01,45.989999999999995
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.025,49
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.05,51
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.1,54
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.15,56
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.2,57
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.25,59
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.3,60
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.35,61
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.4,62
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.45,64
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.5,65
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.55,66
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.6,67
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.65,68
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.7,69
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.75,70
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.8,72
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.85,73.15000000000009
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.9,76
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.95,79
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.975,82
2021-05-24,1 wk ahead inc death,2021-05-29,PL72,Dolnoslaskie,quantile,0.99,85
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.01,21
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.025,23
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.05,24
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.1,26
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.15,28
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.2,29
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.25,30
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.3,31
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.35,32
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.4,32
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.45,33
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.5,34
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.55,35
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.6,35
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.65,36
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.7,37
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.75,38
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.8,39
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.85,40
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.9,42
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.95,44
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.975,46.02499999999998
2021-05-24,1 wk ahead inc death,2021-05-29,PL73,Kujawsko-Pomorskie,quantile,0.99,49.00999999999999
2021-05-24,1 wk ahead inc death,2021-05-29,PL74,Lodzkie,quantile,0.01,38
2021-05-24,1 wk ahead inc death,2021-05-29,PL74,Lodzkie,quantile,0.025,40.975
2021-05-24,1 wk ahead inc death,2021-05-29,PL74,Lodzkie,quantile,0.05,43
2021-05-24,1 wk ahead inc death,2021-05-29,PL74,Lodzkie,quantile,0.1,45
2021-05-24,1 wk ahead inc death,2021-05-29,PL74,Lodzkie,quantile,0.15,46
2021-05-24,1 wk ahead inc death,2021-05-29,PL74,Lodzkie,quantile,0.2,48
2021-05-24,1 wk ahead inc death,2021-05-29,PL74,Lodzkie,quantile,0.25,49
2021-05-24,1 wk ahead inc death,2021-05-29,PL74,Lodzkie,quantile,0.3,50
2021-05-24,1 wk ahead inc death,2021-05-29,PL74,Lodzkie,quantile,0.35,52
2021-05-24,1 wk ahead inc death,2021-05-29,PL74,Lodzkie,quantile,0.4,53
