forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.01,27.98
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.025,31.975
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.05,39
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.1,50
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.15,57.85000000000002
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.2,65
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.25,72.75
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.3,78
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.35,85.65000000000003
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.4,93
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.45,101
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.5,111.5
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.55,120
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.6,133
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.65,148.35000000000002
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.7,160.30000000000007
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.75,177.25
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.8,194.20000000000005
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.85,214.1500000000001
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.9,239.10000000000002
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.95,276
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.975,307.0999999999999
2021-08-30,1 wk ahead inc case,2021-09-04,PL72,Dolnoslaskie,quantile,0.99,331.03
2021-08-30,1 wk ahead inc case,2021-09-04,PL73,Kujawsko-Pomorskie,quantile,0.01,11
2021-08-30,1 wk ahead inc case,2021-09-04,PL73,Kujawsko-Pomorskie,quantile,0.025,15
2021-08-30,1 wk ahead inc case,2021-09-04,PL73,Kujawsko-Pomorskie,quantile,0.05,17
2021-08-30,1 wk ahead inc case,2021-09-04,PL73,Kujawsko-Pomorskie,quantile,0.1,22
2021-08-30,1 wk ahead inc case,2021-09-04,PL73,Kujawsko-Pomorskie,quantile,0.15,26
2021-08-30,1 wk ahead inc case,2021-09-04,PL73,Kujawsko-Pomorskie,quantile,0.2,30
2021-08-30,1 wk ahead inc case,2021-09-04,PL73,Kujawsko-Pomorskie,quantile,0.25,33.75
