forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.01,9774.99
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.025,10362.625
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.05,11053.150000000001
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.1,11727
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.15,12073.4
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.2,12445
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.25,12775.5
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.3,13116.4
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.35,13511.6
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.4,13797.2
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.45,14189.3
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.5,14564.5
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.55,14899
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.6,15230.400000000001
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.65,15574
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.7,15861.6
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.75,16234.5
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.8,16658
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.85,17292.75
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.9,18026.5
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.95,19019.45
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.975,19838.925
2021-10-18,1 wk ahead inc case,2021-10-23,GM01,Baden-Württemberg State,quantile,0.99,20859.089999999993
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.01,14991.781124731311
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.025,15548.123607535277
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.05,16299.145038725143
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.1,17103.616052852452
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.15,17702.14703030736
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.2,18210.99550523984
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.25,18697.38355722327
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.3,19121.11220817604
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.35,19648.15731183584
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.4,20014.220243140222
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.45,20471.780201297363
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.5,20909.002609824347
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.55,21337.863300780176
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.6,21666.91523313101
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.65,22141.05609626343
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.7,22589.201716979478
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.75,23079.84762565507
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.8,23771.568384539318
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.85,24559.702274179013
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.9,25550.46889858225
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.95,26953.654952654906
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.975,28434.93883985474
2021-10-18,1 wk ahead inc case,2021-10-23,GM02,Free State of Bavaria,quantile,0.99,29950.051125194954
2021-10-18,1 wk ahead inc case,2021-10-23,GM16,Berlin State,quantile,0.01,2892.87
