forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.01,252.99
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.025,258
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.05,263.95
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.1,269
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.15,273
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.2,276
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.25,278
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.3,281
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.35,283
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.4,286
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.45,288
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.5,290
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.55,293
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.6,296
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.65,298
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.7,300
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.75,303
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.8,306
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.85,309
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.9,314
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.95,322
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.975,329
2021-12-06,1 wk ahead inc death,2021-12-11,GM01,Baden-Württemberg State,quantile,0.99,337.02
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.01,422
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.025,431
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.05,440
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.1,447
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.15,452
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.2,457
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.25,460.75
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.3,464
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.35,467
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.4,470
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.45,473
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.5,476
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.55,478
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.6,481
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.65,484
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.7,487
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.75,491
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.8,494
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.85,499
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.9,503
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.95,513
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.975,518
2021-12-06,1 wk ahead inc death,2021-12-11,GM02,Free State of Bavaria,quantile,0.99,524.01
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.01,20.990000000000002
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.025,22
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.05,23
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.1,25
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.15,27
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.2,27.80000000000001
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.25,28
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.3,29
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.35,30
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.4,31
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.45,32
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.5,32
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.55,33
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.6,34
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.65,35
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.7,36
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.75,36
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.8,37
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.85,38
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.9,40
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.95,42
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.975,44
2021-12-06,1 wk ahead inc death,2021-12-11,GM16,Berlin State,quantile,0.99,47
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.01,82
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.025,85
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.05,87.95
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.1,91
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.15,93.85000000000002
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.2,96
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.25,97
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.3,99
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.35,100
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.4,102
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.45,103
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.5,104
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.55,105
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.6,107
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.65,108
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.7,109
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.75,110
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.8,112
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.85,114
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.9,117
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.95,121
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.975,124
2021-12-06,1 wk ahead inc death,2021-12-11,GM11,Brandenburg State,quantile,0.99,128
2021-12-06,1 wk ahead inc death,2021-12-11,GM03,Free Hanseatic City of Bremen,quantile,0.01,2
2021-12-06,1 wk ahead inc death,2021-12-11,GM03,Free Hanseatic City of Bremen,quantile,0.025,3
2021-12-06,1 wk ahead inc death,2021-12-11,GM03,Free Hanseatic City of Bremen,quantile,0.05,4
