forecast_date,target,target_end_date,location,location_name,type,quantile,value
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.01,1
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.025,2
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.05,2
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.1,3
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.15,3
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.2,4
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.25,4
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.3,4
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.35,5
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.4,5
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.45,5
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.5,5
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.55,6
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.6,6
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.65,6
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.7,7
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.75,7
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.8,7
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.85,8
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.9,9
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.95,10
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.975,11
2022-04-18,1 wk ahead inc death,2022-04-23,PL72,Dolnoslaskie,quantile,0.99,11.009999999999991
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.01,0
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.025,0
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.05,1
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.1,1
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.15,2
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.2,2
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.25,2
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.3,3
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.35,3
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.4,3
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.45,3
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.5,4
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.55,4
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.6,4
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.65,4
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.7,5
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.75,5
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.8,5
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.85,6
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.9,6
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.95,7
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.975,8
2022-04-18,1 wk ahead inc death,2022-04-23,PL73,Kujawsko-Pomorskie,quantile,0.99,9
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.01,3
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.025,4
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.05,5
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.1,5
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.15,6
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.2,7
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.25,7
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.3,8
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.35,8
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.4,8
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.45,9
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.5,9
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.55,10
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.6,10
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.65,11
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.7,11
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.75,11
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.8,12
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.85,13
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.9,14
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.95,15
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.975,16
2022-04-18,1 wk ahead inc death,2022-04-23,PL74,Lodzkie,quantile,0.99,17
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.01,4
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.025,4
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.05,5
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.1,6
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.15,7
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.2,7
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.25,8
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.3,8
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.35,9
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.4,9
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.45,9
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.5,10
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.55,10
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.6,10.400000000000091
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.65,11
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.7,11
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.75,12
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.8,13
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.85,13
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.9,14
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.95,15
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.975,16
2022-04-18,1 wk ahead inc death,2022-04-23,PL75,Lubelskie,quantile,0.99,18
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.01,0
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.025,0
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.05,0
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.1,1
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.15,1
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.2,1
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.25,1
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.3,2
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.35,2
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.4,2
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.45,2
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.5,2
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.55,3
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.6,3
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.65,3
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.7,3
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.75,3
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.8,4
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.85,4
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.9,5
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.95,5
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.975,6
2022-04-18,1 wk ahead inc death,2022-04-23,PL76,Lubuskie,quantile,0.99,7
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.01,2.99
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.025,3
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.05,4
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.1,5
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.15,6
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.2,6
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.25,7
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.3,7
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.35,7
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.4,8
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.45,8
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.5,8
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.55,9
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.6,9
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.65,10
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.7,10
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.75,10
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.8,11
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.85,12
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.9,12
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.95,14
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.975,15
2022-04-18,1 wk ahead inc death,2022-04-23,PL77,Malopolskie,quantile,0.99,16
2022-04-18,1 wk ahead inc death,2022-04-23,PL78,Mazowieckie,quantile,0.01,3
2022-04-18,1 wk ahead inc death,2022-04-23,PL78,Mazowieckie,quantile,0.025,4
2022-04-18,1 wk ahead inc death,2022-04-23,PL78,Mazowieckie,quantile,0.05,5
2022-04-18,1 wk ahead inc death,2022-04-23,PL78,Mazowieckie,quantile,0.1,6
2022-04-18,1 wk ahead inc death,2022-04-23,PL78,Mazowieckie,quantile,0.15,6
2022-04-18,1 wk ahead inc death,2022-04-23,PL78,Mazowieckie,quantile,0.2,7
2022-04-18,1 wk ahead inc death,2022-04-23,PL78,Mazowieckie,quantile,0.25,7
2022-04-18,1 wk ahead inc death,2022-04-23,PL78,Mazowieckie,quantile,0.3,8
2022-04-18,1 wk ahead inc death,2022-04-23,PL78,Mazowieckie,quantile,0.35,8
2022-04-18,1 wk ahead inc death,2022-04-23,PL78,Mazowieckie,quantile,0.4,9
2022-04-18,1 wk ahead inc death,2022-04-23,PL78,Mazowieckie,quantile,0.45,9
2022-04-18,1 wk ahead inc death,2022-04-23,PL78,Mazowieckie,quantile,0.5,10
