forecast_date,target,target_end_date,location,location_name,type,quantile,value
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.01,43
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.025,45
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.05,47
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.1,50
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.15,52
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.2,53
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.25,54
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.3,55
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.35,56
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.4,58
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.45,58
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.5,59
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.55,60
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.6,62
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.65,63
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.7,64
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.75,65
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.8,66
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.85,68
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.9,70
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.95,73
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.975,76
2022-09-12,1 wk ahead inc death,2022-09-17,GM01,Baden-Württemberg State,quantile,0.99,79
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.01,69
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.025,71
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.05,74
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.1,77
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.15,79
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.2,81
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.25,82
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.3,84
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.35,85
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.4,87
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.45,88
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.5,89
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.55,90
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.6,91
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.65,93
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.7,94
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.75,95
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.8,97
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.85,99
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.9,102
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.95,106
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.975,109
2022-09-12,1 wk ahead inc death,2022-09-17,GM02,Free State of Bavaria,quantile,0.99,111
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.01,3
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.025,3
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.05,4
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.1,5
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.15,6
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.2,6
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.25,6
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.3,7
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.35,7
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.4,7
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.45,8
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.5,8
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.55,8
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.6,9
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.65,9
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.7,10
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.75,10
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.8,11
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.85,11
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.9,12
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.95,13
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.975,14
2022-09-12,1 wk ahead inc death,2022-09-17,GM16,Berlin State,quantile,0.99,15
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.01,2
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.025,2
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.05,3
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.1,4
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.15,4
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.2,5
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.25,5
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.3,6
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.35,6
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.4,6
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.45,7
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.5,7
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.55,7
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.6,7
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.65,8
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.7,8
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.75,9
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.8,9
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.85,9
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.9,10
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.95,11
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.975,12
2022-09-12,1 wk ahead inc death,2022-09-17,GM11,Brandenburg State,quantile,0.99,13
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.01,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.025,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.05,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.1,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.15,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.2,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.25,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.3,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.35,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.4,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.45,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.5,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.55,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.6,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.65,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.7,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.75,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.8,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.85,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.9,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.95,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.975,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM03,Free Hanseatic City of Bremen,quantile,0.99,0
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.01,19
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.025,20
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.05,21
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.1,23
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.15,24
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.2,25
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.25,26
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.3,27
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.35,28
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.4,28
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.45,29
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.5,30
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.55,30
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.6,31
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.65,32
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.7,32
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.75,33
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.8,34
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.85,36
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.9,37
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.95,39
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.975,41
2022-09-12,1 wk ahead inc death,2022-09-17,GM04,Free Hanseatic City of Hamburg,quantile,0.99,43
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.01,32
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.025,34
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.05,36
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.1,38
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.15,40
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.2,41
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.25,42
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.3,43
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.35,44
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.4,45
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.45,46
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.5,47
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.55,48
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.6,49
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.65,50
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.7,51
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.75,52
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.8,53
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.85,55
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.9,56
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.95,59
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.975,61
2022-09-12,1 wk ahead inc death,2022-09-17,GM05,Hesse State,quantile,0.99,66
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.01,3
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.025,4
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.05,5
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.1,6
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.15,7
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.2,7
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.25,7
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.3,8
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.35,8
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.4,9
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.45,9
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.5,9
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.55,10
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.6,10
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.65,11
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.7,11
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.75,12
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.8,12
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.85,13
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.9,14
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.95,15
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.975,16
2022-09-12,1 wk ahead inc death,2022-09-17,GM12,Mecklenburg-Western Pomerania State,quantile,0.99,17.00999999999999
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.01,79
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.025,82
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.05,85
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.1,89
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.15,92
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.2,93
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.25,94
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.3,96
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.35,97
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.4,99
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.45,100
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.5,101
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.55,103
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.6,105
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.65,106
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.7,108
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.75,110
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.8,112
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.85,114
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.9,116
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.95,119
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.975,122
2022-09-12,1 wk ahead inc death,2022-09-17,GM06,Lower Saxony State,quantile,0.99,125
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.01,65.99000000000001
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.025,69
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.05,73
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.1,76
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.15,78
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.2,80
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.25,81
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.3,83
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.35,84
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.4,85
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.45,87
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.5,88
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.55,89
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.6,91
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.65,92
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.7,93.30000000000007
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.75,95
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.8,96
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.85,98
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.9,100
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.95,104
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.975,107
2022-09-12,1 wk ahead inc death,2022-09-17,GM07,North Rhine-Westphalia State,quantile,0.99,111.00999999999999
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.01,22
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.025,25
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.05,26
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.1,28
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.15,30
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.2,31
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.25,32
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.3,33
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.35,33
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.4,34
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.45,35
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.5,36
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.55,36
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.6,37
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.65,38
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.7,39
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.75,40
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.8,41
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.85,42
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.9,44
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.95,47
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.975,49
2022-09-12,1 wk ahead inc death,2022-09-17,GM08,Rhineland-Palatinate State,quantile,0.99,51.00999999999999
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.01,1
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.025,2
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.05,2
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.1,3
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.15,3
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.2,4
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.25,4
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.3,4
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.35,4
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.4,5
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.45,5
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.5,5
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.55,6
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.6,6
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.65,6
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.7,7
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.75,7
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.8,7
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.85,8
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.9,9
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.95,9
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.975,10
2022-09-12,1 wk ahead inc death,2022-09-17,GM09,Saarland State,quantile,0.99,12
2022-09-12,1 wk ahead inc death,2022-09-17,GM13,Free State of Saxony,quantile,0.01,26
