"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.01,53
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.1,73
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.15,78
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.025,60
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.2,82
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.25,86
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.3,89
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.35,93
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.4,96
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.45,99
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.05,66
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.5,102
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.55,105
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.6,109
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.65,113
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.7,116
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.75,121
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.8,126
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.85,132
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.9,138
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.95,151
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.975,160
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","quantile",0.99,174
"2021-08-23","1 wk ahead inc death","2021-08-28","GM","point",0.5,102
