forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-28,-1 day ahead cum death,2021-03-27,GM,Germany,observed,NA,75780
2021-03-28,-1 day ahead inc death,2021-03-27,GM,Germany,observed,NA,157
2021-03-28,-1 wk ahead cum death,2021-03-20,GM,Germany,observed,NA,74565
2021-03-28,-1 wk ahead inc death,2021-03-20,GM,Germany,observed,NA,1264
2021-03-28,0 day ahead cum death,2021-03-28,GM,Germany,observed,NA,75870
2021-03-28,0 day ahead inc death,2021-03-28,GM,Germany,observed,NA,90
2021-03-28,0 wk ahead cum death,2021-03-27,GM,Germany,observed,NA,75780
2021-03-28,0 wk ahead inc death,2021-03-27,GM,Germany,observed,NA,1215
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,point,NA,76055
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,point,NA,185
2021-03-28,1 wk ahead cum death,2021-04-03,GM,Germany,point,NA,76875
2021-03-28,1 wk ahead inc death,2021-04-03,GM,Germany,point,NA,1095
2021-03-28,2 day ahead cum death,2021-03-30,GM,Germany,point,NA,76233
2021-03-28,2 day ahead inc death,2021-03-30,GM,Germany,point,NA,178
2021-03-28,3 day ahead cum death,2021-03-31,GM,Germany,point,NA,76400
2021-03-28,3 day ahead inc death,2021-03-31,GM,Germany,point,NA,169
2021-03-28,4 day ahead cum death,2021-04-01,GM,Germany,point,NA,76560
2021-03-28,4 day ahead inc death,2021-04-01,GM,Germany,point,NA,166
2021-03-28,5 day ahead cum death,2021-04-02,GM,Germany,point,NA,76719
2021-03-28,5 day ahead inc death,2021-04-02,GM,Germany,point,NA,166
2021-03-28,6 day ahead cum death,2021-04-03,GM,Germany,point,NA,76875
2021-03-28,6 day ahead inc death,2021-04-03,GM,Germany,point,NA,166
2021-03-28,7 day ahead cum death,2021-04-04,GM,Germany,point,NA,77031
2021-03-28,7 day ahead inc death,2021-04-04,GM,Germany,point,NA,163
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.01,76002
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.025,76010
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.05,76016
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.1,76024
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.15,76030
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.2,76035
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.25,76039
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.3,76042
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.35,76046
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.4,76049
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.45,76052
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.5,76055
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.55,76058
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.6,76061
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.65,76064
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.7,76067
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.75,76070
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.8,76074
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.85,76078
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.9,76083
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.95,76090
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.975,76096
2021-03-28,1 day ahead cum death,2021-03-29,GM,Germany,quantile,0.99,76104
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.01,132
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.025,140
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.05,146
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.1,154
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.15,160
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.2,165
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.25,169
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.3,172
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.35,176
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.4,179
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.45,182
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.5,185
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.55,188
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.6,191
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.65,194
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.7,197
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.75,200
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.8,204
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.85,208
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.9,213
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.95,220
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.975,226
2021-03-28,1 day ahead inc death,2021-03-29,GM,Germany,quantile,0.99,234
2021-03-28,1 wk ahead cum death,2021-04-03,GM,Germany,quantile,0.01,76720
2021-03-28,1 wk ahead cum death,2021-04-03,GM,Germany,quantile,0.025,76741
2021-03-28,1 wk ahead cum death,2021-04-03,GM,Germany,quantile,0.05,76757
2021-03-28,1 wk ahead cum death,2021-04-03,GM,Germany,quantile,0.1,76780
2021-03-28,1 wk ahead cum death,2021-04-03,GM,Germany,quantile,0.15,76797
2021-03-28,1 wk ahead cum death,2021-04-03,GM,Germany,quantile,0.2,76812
2021-03-28,1 wk ahead cum death,2021-04-03,GM,Germany,quantile,0.25,76825
2021-03-28,1 wk ahead cum death,2021-04-03,GM,Germany,quantile,0.3,76836
2021-03-28,1 wk ahead cum death,2021-04-03,GM,Germany,quantile,0.35,76847
2021-03-28,1 wk ahead cum death,2021-04-03,GM,Germany,quantile,0.4,76857
2021-03-28,1 wk ahead cum death,2021-04-03,GM,Germany,quantile,0.45,76865
2021-03-28,1 wk ahead cum death,2021-04-03,GM,Germany,quantile,0.5,76875
2021-03-28,1 wk ahead cum death,2021-04-03,GM,Germany,quantile,0.55,76887
2021-03-28,1 wk ahead cum death,2021-04-03,GM,Germany,quantile,0.6,76903
